#tau, F(tau), dF(tau)
0.000000000000000000e+00,9.973418507594670190e-01,3.376375106197595892e-03
1.086021275746307246e-02,9.627723331494417724e-01,3.375388022790000355e-03
2.172042551492614493e-02,9.297319872199828472e-01,3.371369402414820578e-03
3.258063827238921739e-02,8.981364491135132022e-01,3.367226425979143525e-03
4.344085102985228986e-02,8.679105258797469302e-01,3.360591806118340928e-03
5.430106378731536232e-02,8.390137065522548232e-01,3.353563751389201236e-03
6.516127654477843478e-02,8.113677907725898031e-01,3.345115667935126980e-03
7.602148930224150725e-02,7.849574378898329652e-01,3.335818838907631239e-03
8.688170205970457971e-02,7.597289423462884050e-01,3.325157197832554184e-03
9.774191481716765217e-02,7.356363521436297681e-01,3.313946807713674930e-03
1.086021275746307246e-01,7.125405307651139220e-01,3.302954007023289808e-03
1.194623403320937971e-01,6.904878825810433218e-01,3.292363841015591777e-03
1.303225530895568696e-01,6.694063651989757835e-01,3.280681199518235835e-03
1.411827658470199420e-01,6.492273064649320968e-01,3.269686597375493203e-03
1.520429786044830145e-01,6.298663509949259387e-01,3.258837323866679240e-03
1.629031913619460870e-01,6.112966056578571505e-01,3.246490950964278557e-03
1.737634041194091594e-01,5.935437696089278514e-01,3.233813383735446943e-03
1.846236168768722319e-01,5.765757679591890783e-01,3.221553732673277781e-03
1.954838296343353043e-01,5.602808357875800338e-01,3.207727362172375050e-03
2.063440423917983768e-01,5.446748198119667483e-01,3.194845434419821273e-03
2.172042551492614493e-01,5.296743296242779619e-01,3.182372285437224356e-03
2.280644679067245217e-01,5.153356371217534537e-01,3.168992226921840075e-03
2.389246806641875942e-01,5.015877896992180229e-01,3.154903982210504471e-03
2.497848934216506667e-01,4.883903601616627066e-01,3.142024013686325716e-03
2.606451061791137391e-01,4.757194873927207968e-01,3.128517513946950900e-03
2.715053189365768116e-01,4.635756935243552368e-01,3.115847054374054452e-03
2.823655316940398841e-01,4.518827790671509637e-01,3.103738044970157355e-03
2.932257444515029565e-01,4.406474068691819679e-01,3.092002609006140601e-03
3.040859572089660290e-01,4.298630649468097586e-01,3.081110888120777193e-03
3.149461699664291014e-01,4.195695286912787259e-01,3.072019472039744150e-03
3.258063827238921739e-01,4.096983211262178459e-01,3.064467238681771802e-03
3.366665954813552464e-01,4.002224628829237907e-01,3.057934406602965706e-03
3.475268082388183188e-01,3.910800136155448969e-01,3.052646845136570541e-03
3.583870209962813913e-01,3.823207442185551086e-01,3.045885709045677986e-03
3.692472337537444638e-01,3.739238119227205615e-01,3.040254638627724534e-03
3.801074465112075362e-01,3.658422306411923675e-01,3.035111064624343262e-03
3.909676592686706087e-01,3.580595011741355416e-01,3.031241651770828337e-03
4.018278720261336812e-01,3.505913111582996122e-01,3.028065293139948436e-03
4.126880847835967536e-01,3.434200332715509063e-01,3.025129123838073576e-03
4.235482975410598261e-01,3.365067710380152954e-01,3.022650968618787164e-03
4.344085102985228986e-01,3.298164088670238470e-01,3.021876953737829760e-03
4.452687230559859710e-01,3.233472089245287284e-01,3.020814360840712049e-03
4.561289358134490435e-01,3.171512373841703925e-01,3.018594955531841897e-03
4.669891485709121159e-01,3.112148334973266484e-01,3.016791753569338878e-03
4.778493613283751884e-01,3.054567028566571030e-01,3.015879911349609015e-03
4.887095740858382609e-01,2.999408396353137052e-01,3.016928855978153259e-03
4.995697868433013333e-01,2.946153184751580945e-01,3.016886161759953829e-03
5.104299996007644058e-01,2.894621132529370811e-01,3.015939596357962611e-03
5.212902123582274783e-01,2.844593040648094595e-01,3.015120426545710251e-03
5.321504251156905507e-01,2.796361069028419633e-01,3.014547954788091271e-03
5.430106378731536232e-01,2.749827336616980089e-01,3.014588343690313525e-03
5.538708506306166957e-01,2.704999583535586116e-01,3.015839415594746744e-03
5.647310633880797681e-01,2.661914686677268604e-01,3.017790501106280832e-03
5.755912761455428406e-01,2.620419245856415724e-01,3.020847280299999039e-03
5.864514889030059130e-01,2.580561882564048615e-01,3.023255779201659225e-03
5.973117016604689855e-01,2.542142588941635473e-01,3.025283700745001227e-03
6.081719144179320580e-01,2.504701094554587781e-01,3.025079210686077054e-03
6.190321271753951304e-01,2.468648775884660918e-01,3.023241035255747836e-03
6.298923399328582029e-01,2.434159495453158406e-01,3.022989156837654640e-03
6.407525526903212754e-01,2.401206677297638148e-01,3.024347906186129753e-03
6.516127654477843478e-01,2.369860906481910945e-01,3.027940955442061637e-03
6.624729782052474203e-01,2.339701594291653530e-01,3.032238917711689227e-03
6.733331909627104928e-01,2.310612320310785617e-01,3.035835656412661822e-03
6.841934037201735652e-01,2.282742887241270280e-01,3.039812227499985673e-03
6.950536164776366377e-01,2.256002208588947511e-01,3.045343249522794189e-03
7.059138292350997101e-01,2.230808372896789515e-01,3.051755199230497730e-03
7.167740419925627826e-01,2.206703474350409644e-01,3.057832071502221156e-03
7.276342547500258551e-01,2.183055947000566155e-01,3.065394427544870098e-03
7.384944675074889275e-01,2.160579255807738019e-01,3.073616037171752590e-03
7.493546802649520000e-01,2.138698778078516327e-01,3.081643163288787235e-03
7.602148930224150725e-01,2.117589751142721910e-01,3.090724115630231507e-03
7.710751057798781449e-01,2.097344932801492312e-01,3.100589404798825485e-03
7.819353185373412174e-01,2.078076295735018508e-01,3.111079370329128575e-03
7.927955312948042899e-01,2.059864089534177156e-01,3.121680461031174116e-03
8.036557440522673623e-01,2.042539262235973929e-01,3.131307710431117421e-03
8.145159568097304348e-01,2.025985313145878819e-01,3.142399275552106887e-03
8.253761695671935072e-01,2.010454742881326862e-01,3.154616101774364387e-03
8.362363823246565797e-01,1.995881165715313044e-01,3.166911336380263606e-03
8.470965950821196522e-01,1.981398770268427978e-01,3.178011053206759428e-03
8.579568078395827246e-01,1.967649615939038865e-01,3.189721603018704377e-03
8.688170205970457971e-01,1.954949230352287237e-01,3.201144553581827031e-03
8.796772333545088696e-01,1.943236281692357903e-01,3.213241000757391039e-03
8.905374461119719420e-01,1.931978204776926833e-01,3.225420582875112435e-03
9.013976588694350145e-01,1.921631241951453906e-01,3.238860838495916453e-03
9.122578716268980870e-01,1.912013728831912507e-01,3.251614991475586854e-03
9.231180843843611594e-01,1.903198971559270924e-01,3.264863459582106539e-03
9.339782971418242319e-01,1.895389251763982263e-01,3.278548896200445505e-03
9.448385098992873043e-01,1.888652387721233283e-01,3.291253511103715834e-03
9.556987226567503768e-01,1.882208663514498836e-01,3.304395475049006978e-03
9.665589354142134493e-01,1.876808363935037749e-01,3.316925526738075548e-03
9.774191481716765217e-01,1.871790257161834170e-01,3.329985816639037793e-03
9.882793609291395942e-01,1.866994045813863412e-01,3.342215839736198055e-03
9.991395736866026667e-01,1.862573928520002697e-01,3.354181214286208051e-03
1.009999786444065739e+00,1.858732322046864616e-01,3.365790279144653587e-03
1.020859999201528812e+00,1.855594620854171539e-01,3.375379382301044520e-03
1.031720211958991884e+00,1.852963245973965334e-01,3.384970766710064093e-03
1.042580424716454957e+00,1.850678606011652294e-01,3.393796954562195919e-03
1.053440637473918029e+00,1.848615174417723162e-01,3.400397520742966858e-03
1.064300850231381101e+00,1.846848288966315976e-01,3.406505097600898060e-03
1.075161062988844174e+00,1.846042452737323147e-01,3.410748640808786147e-03
1.086021275746307246e+00,1.845723644391674689e-01,3.411662783162762707e-03
1.096881488503770319e+00,1.846042452737323147e-01,3.410748640808786147e-03
1.107741701261233391e+00,1.846848288966315976e-01,3.406505097600898060e-03
1.118601914018696464e+00,1.848615174417723162e-01,3.400397520742966858e-03
1.129462126776159536e+00,1.850678606011652294e-01,3.393796954562195919e-03
1.140322339533622609e+00,1.852963245973965334e-01,3.384970766710064093e-03
1.151182552291085681e+00,1.855594620854171539e-01,3.375379382301044520e-03
1.162042765048548754e+00,1.858732322046864616e-01,3.365790279144653587e-03
1.172902977806011826e+00,1.862573928520002697e-01,3.354181214286208051e-03
1.183763190563474899e+00,1.866994045813863412e-01,3.342215839736198055e-03
1.194623403320937971e+00,1.871790257161834170e-01,3.329985816639037793e-03
1.205483616078401043e+00,1.876808363935037749e-01,3.316925526738075548e-03
1.216343828835864116e+00,1.882208663514498836e-01,3.304395475049006978e-03
