#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.000053560630348448e+00,1.000001074534182313e-02
1.086021275746307246e-02,9.654993197390536741e-01,1.000079301547336305e-02
2.172042551492614493e-02,9.325318125218351462e-01,9.995284589505113240e-03
3.258063827238921739e-02,9.010433878916161987e-01,1.000014774199880704e-02
4.344085102985228986e-02,8.709950714988251574e-01,9.983226228479264580e-03
5.430106378731536232e-02,8.423554590889785754e-01,9.955163545524428961e-03
6.516127654477843478e-02,8.149091762388697147e-01,9.926553137810312927e-03
7.602148930224150725e-02,7.887568257391966986e-01,9.895203406697255719e-03
8.688170205970457971e-02,7.638652934412495377e-01,9.853543156230316208e-03
9.774191481716765217e-02,7.401149589983823107e-01,9.810599366160634507e-03
1.086021275746307246e-01,7.174291180006751034e-01,9.772575936819061920e-03
1.194623403320937971e-01,6.958264428141651692e-01,9.754227029622445852e-03
1.303225530895568696e-01,6.750808179899562278e-01,9.701318717126938135e-03
1.411827658470199420e-01,6.551203637492504228e-01,9.634852782971324234e-03
1.520429786044830145e-01,6.360734827123146751e-01,9.574931324167961638e-03
1.629031913619460870e-01,6.177725410237943082e-01,9.513852881136604378e-03
1.737634041194091594e-01,6.001941942123069085e-01,9.447806998098917317e-03
1.846236168768722319e-01,5.835018294945016892e-01,9.381189963189557474e-03
1.954838296343353043e-01,5.675183162785567559e-01,9.325719519718996681e-03
2.063440423917983768e-01,5.522939399044750619e-01,9.264575053124101192e-03
2.172042551492614493e-01,5.375938588434471255e-01,9.213329141837846292e-03
2.280644679067245217e-01,5.235562132823797787e-01,9.158757383854668546e-03
2.389246806641875942e-01,5.101899299929969489e-01,9.108556922236245995e-03
2.497848934216506667e-01,4.972676492371793655e-01,9.065155522508581629e-03
2.606451061791137391e-01,4.847602305640635323e-01,9.024142751475632343e-03
2.715053189365768116e-01,4.728480798558171716e-01,8.957674641808991908e-03
2.823655316940398841e-01,4.612873806458708259e-01,8.877677593289940230e-03
2.932257444515029565e-01,4.501260019448319882e-01,8.803221041551539949e-03
3.040859572089660290e-01,4.394517022675339391e-01,8.726213401018194371e-03
3.149461699664291014e-01,4.292113143395765995e-01,8.644577141612722060e-03
3.258063827238921739e-01,4.193636915232331619e-01,8.574019891267024157e-03
3.366665954813552464e-01,4.099010220904766855e-01,8.506822709798363136e-03
3.475268082388183188e-01,4.008011881982715963e-01,8.442987596505888842e-03
3.583870209962813913e-01,3.921881563751091759e-01,8.380014792004021260e-03
3.692472337537444638e-01,3.839975800099845182e-01,8.314260792569756753e-03
3.801074465112075362e-01,3.762379282972955763e-01,8.258792144246615563e-03
3.909676592686706087e-01,3.687252398987617696e-01,8.208672930052509156e-03
4.018278720261336812e-01,3.615254541155946688e-01,8.166138746981459196e-03
4.126880847835967536e-01,3.545263472985106246e-01,8.146766877915963614e-03
4.235482975410598261e-01,3.477785098390645535e-01,8.129550392955282173e-03
4.344085102985228986e-01,3.413478521388477738e-01,8.134583296725570248e-03
4.452687230559859710e-01,3.350771979913576004e-01,8.140554783829009877e-03
4.561289358134490435e-01,3.289721314455255063e-01,8.137617115686350891e-03
4.669891485709121159e-01,3.230391918433005438e-01,8.134323436473057944e-03
4.778493613283751884e-01,3.174175027614591360e-01,8.122066276759230818e-03
4.887095740858382609e-01,3.119592546816724044e-01,8.113318446365168357e-03
4.995697868433013333e-01,3.067852913678624227e-01,8.098689415018754667e-03
5.104299996007644058e-01,3.016720252851772810e-01,8.084082963782593043e-03
5.212902123582274783e-01,2.966011011606416448e-01,8.082146755882622241e-03
5.321504251156905507e-01,2.917623309001912690e-01,8.085903499510318712e-03
5.430106378731536232e-01,2.871591045898867489e-01,8.103653788581606857e-03
5.538708506306166957e-01,2.828225085883853129e-01,8.126065927475160933e-03
5.647310633880797681e-01,2.785773558033557418e-01,8.167266677222714821e-03
