#tau, F(tau), dF(tau)
0.000000000000000000e+00,9.932768066256202344e-01,1.080117664821752567e-03
1.086021275746307246e-02,9.587240176545419601e-01,1.079807538747613697e-03
2.172042551492614493e-02,9.257305959676602747e-01,1.078643480770130310e-03
3.258063827238921739e-02,8.942044188294446805e-01,1.076930367718542930e-03
4.344085102985228986e-02,8.640899693824556360e-01,1.074729602029146115e-03
5.430106378731536232e-02,8.353129619411484574e-01,1.072121256496526374e-03
6.516127654477843478e-02,8.078070462606060653e-01,1.069241875611432174e-03
7.602148930224150725e-02,7.815106504230320272e-01,1.066063701679018831e-03
8.688170205970457971e-02,7.563691317923889601e-01,1.062549567237896500e-03
9.774191481716765217e-02,7.323316515277323857e-01,1.058915016563703650e-03
1.086021275746307246e-01,7.093179950290348090e-01,1.055199967442317817e-03
1.194623403320937971e-01,6.872872377787948572e-01,1.051378269782823416e-03
1.303225530895568696e-01,6.661830454627006848e-01,1.047612178839425539e-03
1.411827658470199420e-01,6.459793395685922146e-01,1.043970212871493403e-03
1.520429786044830145e-01,6.266236074996861527e-01,1.040168545077931744e-03
1.629031913619460870e-01,6.080916713422215292e-01,1.036320302486997552e-03
1.737634041194091594e-01,5.903435379100352431e-01,1.032517560650298479e-03
1.846236168768722319e-01,5.733561074947920444e-01,1.028737555470768611e-03
1.954838296343353043e-01,5.570713790548242894e-01,1.024856983668028963e-03
2.063440423917983768e-01,5.414609088008871529e-01,1.020990498925832988e-03
2.172042551492614493e-01,5.264824943253374467e-01,1.017218131343957483e-03
2.280644679067245217e-01,5.121279370823014210e-01,1.013636276667479342e-03
2.389246806641875942e-01,4.983508441636712583e-01,1.010092174579182902e-03
2.497848934216506667e-01,4.851312940788207739e-01,1.006705315075006549e-03
2.606451061791137391e-01,4.724502365555147132e-01,1.003666582523179279e-03
2.715053189365768116e-01,4.602589689737988099e-01,1.000739600216773908e-03
2.823655316940398841e-01,4.485477507116804596e-01,9.979259580030648818e-04
2.932257444515029565e-01,4.372905899202370050e-01,9.952768751737212701e-04
3.040859572089660290e-01,4.264803134697052744e-01,9.927878045375899442e-04
3.149461699664291014e-01,4.161016061805073996e-01,9.903626771867117106e-04
3.258063827238921739e-01,4.061275540865805223e-01,9.881391697459313613e-04
3.366665954813552464e-01,3.965325580796832949e-01,9.858790605532955029e-04
3.475268082388183188e-01,3.873156890237047234e-01,9.838156291069714583e-04
3.583870209962813913e-01,3.784531424474512629e-01,9.819011377531806917e-04
3.692472337537444638e-01,3.699316196839119719e-01,9.800747661393007047e-04
3.801074465112075362e-01,3.617420475521419543e-01,9.785522871720510503e-04
3.909676592686706087e-01,3.538685524703143459e-01,9.770879825171095191e-04
4.018278720261336812e-01,3.462921899450829288e-01,9.757530385792293230e-04
4.126880847835967536e-01,3.390007295015376454e-01,9.745272327668118902e-04
4.235482975410598261e-01,3.319767882642389867e-01,9.734738510293702201e-04
4.344085102985228986e-01,3.252051657303242638e-01,9.725017361982110815e-04
4.452687230559859710e-01,3.186779003710220604e-01,9.715501074319685473e-04
4.561289358134490435e-01,3.123909841347216609e-01,9.706991375448288228e-04
4.669891485709121159e-01,3.063580154362410823e-01,9.699558069851047090e-04
4.778493613283751884e-01,3.005410837946088098e-01,9.692835996376887153e-04
4.887095740858382609e-01,2.949283687683185717e-01,9.688805435057292262e-04
4.995697868433013333e-01,2.895256336079773951e-01,9.686615642983840632e-04
5.104299996007644058e-01,2.843229985231296997e-01,9.686117462690179087e-04
5.212902123582274783e-01,2.793244446873408560e-01,9.686067280010422645e-04
5.321504251156905507e-01,2.745094085876078061e-01,9.686285802866852635e-04
5.430106378731536232e-01,2.698648261298642326e-01,9.687693321387123337e-04
5.538708506306166957e-01,2.653913079997662905e-01,9.690396687375833111e-04
5.647310633880797681e-01,2.610871737479750210e-01,9.695141163085641131e-04
5.755912761455428406e-01,2.569479603512814236e-01,9.701940736128754133e-04
5.864514889030059130e-01,2.529703069222418721e-01,9.709224851894235082e-04
5.973117016604689855e-01,2.491439840667840910e-01,9.716386728251835171e-04
6.081719144179320580e-01,2.454618401490801516e-01,9.723905211302829752e-04
6.190321271753951304e-01,2.419006703175387019e-01,9.731363456483598569e-04
6.298923399328582029e-01,2.384699910348908047e-01,9.738961812580573113e-04
6.407525526903212754e-01,2.351750417595913079e-01,9.747945025675244530e-04
6.516127654477843478e-01,2.320164628129471607e-01,9.757664691925521964e-04
6.624729782052474203e-01,2.289832112976435685e-01,9.767831600224618094e-04
6.733331909627104928e-01,2.260706443347419159e-01,9.779943449036839972e-04
6.841934037201735652e-01,2.232554173621191518e-01,9.793240177065972059e-04
6.950536164776366377e-01,2.205497844066452717e-01,9.808148581285913974e-04
7.059138292350997101e-01,2.179595119906042600e-01,9.823747304259565320e-04
7.167740419925627826e-01,2.154804505990678964e-01,9.841571788585653721e-04
7.276342547500258551e-01,2.130960422160627643e-01,9.860705712331900054e-04
7.384944675074889275e-01,2.108069556331774452e-01,9.880365451475844885e-04
7.493546802649520000e-01,2.086049700044678157e-01,9.901090291597970574e-04
7.602148930224150725e-01,2.064865874995196193e-01,9.921945627116327774e-04
7.710751057798781449e-01,2.044351583414861229e-01,9.945153814777281647e-04
7.819353185373412174e-01,2.024718136774464883e-01,9.970049216595411237e-04
7.927955312948042899e-01,2.005884244055137211e-01,9.996287054471772546e-04
8.036557440522673623e-01,1.987931832099808227e-01,1.002405123846487368e-03
8.145159568097304348e-01,1.970896969097125639e-01,1.005370302426472325e-03
8.253761695671935072e-01,1.954729967459409579e-01,1.008575292711821848e-03
8.362363823246565797e-01,1.939476497340836547e-01,1.012048603401021840e-03
8.470965950821196522e-01,1.924884657618874950e-01,1.015702769743117824e-03
8.579568078395827246e-01,1.911135637414381749e-01,1.019613378835724019e-03
8.688170205970457971e-01,1.898296391956200979e-01,1.023499204699993047e-03
8.796772333545088696e-01,1.886171883578682262e-01,1.027391113194971086e-03
8.905374461119719420e-01,1.874646696477267338e-01,1.031389584894206379e-03
9.013976588694350145e-01,1.863677422487458324e-01,1.035663980216340639e-03
9.122578716268980870e-01,1.853433337387915825e-01,1.040009377775194532e-03
9.231180843843611594e-01,1.844020803341243908e-01,1.044441186440266556e-03
9.339782971418242319e-01,1.835326308047748600e-01,1.049017815258597571e-03
9.448385098992873043e-01,1.827497202298992429e-01,1.053501172069547720e-03
9.556987226567503768e-01,1.820308136124693110e-01,1.057978379089765872e-03
9.665589354142134493e-01,1.813694809814355713e-01,1.062358249580059753e-03
9.774191481716765217e-01,1.807644539692197239e-01,1.066756465979843988e-03
9.882793609291395942e-01,1.802033922119475051e-01,1.070927550118905020e-03
9.991395736866026667e-01,1.797131464894947406e-01,1.074876711476343118e-03
1.009999786444065739e+00,1.792997276825043507e-01,1.078651212866755821e-03
1.020859999201528812e+00,1.789494211221797082e-01,1.082089889413785947e-03
1.031720211958991884e+00,1.786477625885142806e-01,1.085289157266579449e-03
1.042580424716454957e+00,1.784071866589420075e-01,1.088089927517374954e-03
1.053440637473918029e+00,1.782107352619950458e-01,1.090439341071024627e-03
1.064300850231381101e+00,1.780639250226687120e-01,1.092288066876870431e-03
1.075161062988844174e+00,1.779749338186423502e-01,1.093539498456651965e-03
1.086021275746307246e+00,1.779484188137290535e-01,1.094027365192750192e-03
1.096881488503770319e+00,1.779749338186423502e-01,1.093539498456651965e-03
1.107741701261233391e+00,1.780639250226687120e-01,1.092288066876870431e-03
1.118601914018696464e+00,1.782107352619950458e-01,1.090439341071024627e-03
1.129462126776159536e+00,1.784071866589420075e-01,1.088089927517374954e-03
1.140322339533622609e+00,1.786477625885142806e-01,1.085289157266579449e-03
1.151182552291085681e+00,1.789494211221797082e-01,1.082089889413785947e-03
1.162042765048548754e+00,1.792997276825043507e-01,1.078651212866755821e-03
1.172902977806011826e+00,1.797131464894947406e-01,1.074876711476343118e-03
1.183763190563474899e+00,1.802033922119475051e-01,1.070927550118905020e-03
1.194623403320937971e+00,1.807644539692197239e-01,1.066756465979843988e-03
1.205483616078401043e+00,1.813694809814355713e-01,1.062358249580059753e-03
1.216343828835864116e+00,1.820308136124693110e-01,1.057978379089765872e-03
1.227204041593327188e+00,1.827497202298992429e-01,1.053501172069547720e-03
1.238064254350790261e+00,1.835326308047748600e-01,1.049017815258597571e-03
1.248924467108253333e+00,1.844020803341243908e-01,1.044441186440266556e-03
1.259784679865716406e+00,1.853433337387915825e-01,1.040009377775194532e-03
1.270644892623179478e+00,1.863677422487458324e-01,1.035663980216340639e-03
1.281505105380642551e+00,1.874646696477267338e-01,1.031389584894206379e-03
1.292365318138105623e+00,1.886171883578682262e-01,1.027391113194971086e-03
1.303225530895568696e+00,1.898296391956200979e-01,1.023499204699993047e-03
1.314085743653031768e+00,1.911135637414381749e-01,1.019613378835724019e-03
1.324945956410494841e+00,1.924884657618874950e-01,1.015702769743117824e-03
1.335806169167957913e+00,1.939476497340836547e-01,1.012048603401021840e-03
1.346666381925420986e+00,1.954729967459409579e-01,1.008575292711821848e-03
1.357526594682884058e+00,1.970896969097125639e-01,1.005370302426472325e-03
1.368386807440347130e+00,1.987931832099808227e-01,1.002405123846487368e-03
1.379247020197810203e+00,2.005884244055137211e-01,9.996287054471772546e-04
1.390107232955273275e+00,2.024718136774464883e-01,9.970049216595411237e-04
1.400967445712736348e+00,2.044351583414861229e-01,9.945153814777281647e-04
1.411827658470199420e+00,2.064865874995196193e-01,9.921945627116327774e-04
1.422687871227662493e+00,2.086049700044678157e-01,9.901090291597970574e-04
1.433548083985125565e+00,2.108069556331774452e-01,9.880365451475844885e-04
1.444408296742588638e+00,2.130960422160627643e-01,9.860705712331900054e-04
1.455268509500051710e+00,2.154804505990678964e-01,9.841571788585653721e-04
1.466128722257514783e+00,2.179595119906042600e-01,9.823747304259565320e-04
1.476988935014977855e+00,2.205497844066452717e-01,9.808148581285913974e-04
1.487849147772440928e+00,2.232554173621191518e-01,9.793240177065972059e-04
1.498709360529904000e+00,2.260706443347419159e-01,9.779943449036839972e-04
1.509569573287367072e+00,2.289832112976435685e-01,9.767831600224618094e-04
1.520429786044830145e+00,2.320164628129471607e-01,9.757664691925521964e-04
1.531289998802293217e+00,2.351750417595913079e-01,9.747945025675244530e-04
1.542150211559756290e+00,2.384699910348908047e-01,9.738961812580573113e-04
1.553010424317219362e+00,2.419006703175387019e-01,9.731363456483598569e-04
1.563870637074682435e+00,2.454618401490801516e-01,9.723905211302829752e-04
1.574730849832145507e+00,2.491439840667840910e-01,9.716386728251835171e-04
1.585591062589608580e+00,2.529703069222418721e-01,9.709224851894235082e-04
1.596451275347071652e+00,2.569479603512814236e-01,9.701940736128754133e-04
1.607311488104534725e+00,2.610871737479750210e-01,9.695141163085641131e-04
1.618171700861997797e+00,2.653913079997662905e-01,9.690396687375833111e-04
1.629031913619460870e+00,2.698648261298642326e-01,9.687693321387123337e-04
1.639892126376923942e+00,2.745094085876078061e-01,9.686285802866852635e-04
1.650752339134387014e+00,2.793244446873408560e-01,9.686067280010422645e-04
1.661612551891850087e+00,2.843229985231296997e-01,9.686117462690179087e-04
1.672472764649313159e+00,2.895256336079773951e-01,9.686615642983840632e-04
1.683332977406776232e+00,2.949283687683185717e-01,9.688805435057292262e-04
1.694193190164239304e+00,3.005410837946088098e-01,9.692835996376887153e-04
1.705053402921702377e+00,3.063580154362410823e-01,9.699558069851047090e-04
1.715913615679165449e+00,3.123909841347216609e-01,9.706991375448288228e-04
1.726773828436628522e+00,3.186779003710220604e-01,9.715501074319685473e-04
1.737634041194091594e+00,3.252051657303242638e-01,9.725017361982110815e-04
1.748494253951554667e+00,3.319767882642389867e-01,9.734738510293702201e-04
1.759354466709017739e+00,3.390007295015376454e-01,9.745272327668118902e-04
1.770214679466480812e+00,3.462921899450829288e-01,9.757530385792293230e-04
1.781074892223943884e+00,3.538685524703143459e-01,9.770879825171095191e-04
1.791935104981406957e+00,3.617420475521419543e-01,9.785522871720510503e-04
1.802795317738870029e+00,3.699316196839119719e-01,9.800747661393007047e-04
1.813655530496333101e+00,3.784531424474512629e-01,9.819011377531806917e-04
1.824515743253796174e+00,3.873156890237047234e-01,9.838156291069714583e-04
1.835375956011259246e+00,3.965325580796832949e-01,9.858790605532955029e-04
1.846236168768722319e+00,4.061275540865805223e-01,9.881391697459313613e-04
1.857096381526185391e+00,4.161016061805073996e-01,9.903626771867117106e-04
1.867956594283648464e+00,4.264803134697052744e-01,9.927878045375899442e-04
1.878816807041111536e+00,4.372905899202370050e-01,9.952768751737212701e-04
1.889677019798574609e+00,4.485477507116804596e-01,9.979259580030648818e-04
1.900537232556037681e+00,4.602589689737988099e-01,1.000739600216773908e-03
1.911397445313500754e+00,4.724502365555147132e-01,1.003666582523179279e-03
1.922257658070963826e+00,4.851312940788207739e-01,1.006705315075006549e-03
1.933117870828426899e+00,4.983508441636712583e-01,1.010092174579182902e-03
1.943978083585889971e+00,5.121279370823014210e-01,1.013636276667479342e-03
1.954838296343353043e+00,5.264824943253374467e-01,1.017218131343957483e-03
1.965698509100816116e+00,5.414609088008871529e-01,1.020990498925832988e-03
1.976558721858279188e+00,5.570713790548242894e-01,1.024856983668028963e-03
1.987418934615742261e+00,5.733561074947920444e-01,1.028737555470768611e-03
1.998279147373205333e+00,5.903435379100352431e-01,1.032517560650298479e-03
2.009139360130668628e+00,6.080916713422215292e-01,1.036320302486997552e-03
2.019999572888131478e+00,6.266236074996861527e-01,1.040168545077931744e-03
2.030859785645594329e+00,6.459793395685922146e-01,1.043970212871493403e-03
2.041719998403057623e+00,6.661830454627006848e-01,1.047612178839425539e-03
2.052580211160520918e+00,6.872872377787948572e-01,1.051378269782823416e-03
2.063440423917983768e+00,7.093179950290348090e-01,1.055199967442317817e-03
2.074300636675446619e+00,7.323316515277323857e-01,1.058915016563703650e-03
2.085160849432909913e+00,7.563691317923889601e-01,1.062549567237896500e-03
2.096021062190373208e+00,7.815106504230320272e-01,1.066063701679018831e-03
2.106881274947836058e+00,8.078070462606060653e-01,1.069241875611432174e-03
2.117741487705298908e+00,8.353129619411484574e-01,1.072121256496526374e-03
2.128601700462762203e+00,8.640899693824556360e-01,1.074729602029146115e-03
2.139461913220225497e+00,8.942044188294446805e-01,1.076930367718542930e-03
2.150322125977688348e+00,9.257305959676602747e-01,1.078643480770130310e-03
2.161182338735151198e+00,9.587240176545419601e-01,1.079807538747613697e-03
2.172042551492614493e+00,9.932768066256202344e-01,1.080117664821752567e-03
