#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.004235550406359145e+00,4.798260275369662341e-03
1.086021275746307246e-02,9.416636035985157527e-01,4.792324446493754012e-03
2.172042551492614493e-02,8.836251737285414354e-01,4.777453095792514627e-03
3.258063827238921739e-02,8.297563110814747400e-01,4.747843519283409530e-03
4.344085102985228986e-02,7.796454186255641350e-01,4.705070474888652272e-03
5.430106378731536232e-02,7.329974777381724760e-01,4.665521037706324772e-03
6.516127654477843478e-02,6.895642947354340135e-01,4.622308016202074724e-03
7.602148930224150725e-02,6.493058071562215483e-01,4.571910418786817067e-03
8.688170205970457971e-02,6.117043786501898950e-01,4.528941899224731872e-03
9.774191481716765217e-02,5.766532424105038634e-01,4.484860992647682169e-03
1.086021275746307246e-01,5.440311925702399076e-01,4.439374314700871536e-03
1.194623403320937971e-01,5.135253838818648608e-01,4.410697154909323098e-03
1.303225530895568696e-01,4.850638740843361552e-01,4.366955383072908085e-03
1.411827658470199420e-01,4.585378119588587875e-01,4.321324912531437218e-03
1.520429786044830145e-01,4.336655678294172311e-01,4.281487423446754710e-03
1.629031913619460870e-01,4.103573348541676991e-01,4.252137287671452215e-03
1.737634041194091594e-01,3.885337241391725871e-01,4.215635263279387569e-03
1.846236168768722319e-01,3.681539147377391186e-01,4.178778321967887427e-03
1.954838296343353043e-01,3.492017918364324625e-01,4.145403407641847990e-03
2.063440423917983768e-01,3.314270703808466778e-01,4.110654661853035095e-03
2.172042551492614493e-01,3.147159775360868217e-01,4.072809648130336878e-03
2.280644679067245217e-01,2.990812974846401850e-01,4.036643152892799465e-03
2.389246806641875942e-01,2.844693729079513789e-01,4.007388127924837139e-03
2.497848934216506667e-01,2.706915923579864547e-01,3.978828527729635391e-03
2.606451061791137391e-01,2.578715181309695903e-01,3.957752617919143949e-03
2.715053189365768116e-01,2.457888827290315992e-01,3.946977898061687466e-03
2.823655316940398841e-01,2.344728092777322859e-01,3.935838243420304410e-03
2.932257444515029565e-01,2.238057113950465693e-01,3.925374541076184429e-03
3.040859572089660290e-01,2.136919581295852189e-01,3.914411252933361340e-03
3.149461699664291014e-01,2.041023928881663396e-01,3.905188238609883129e-03
3.258063827238921739e-01,1.949670149398534946e-01,3.897826525222611565e-03
3.366665954813552464e-01,1.864371808384544249e-01,3.890508121421311361e-03
3.475268082388183188e-01,1.784786634958005769e-01,3.890720378822922973e-03
3.583870209962813913e-01,1.708406796229306190e-01,3.888166897576148147e-03
3.692472337537444638e-01,1.637970900868900848e-01,3.888769714893659715e-03
3.801074465112075362e-01,1.569991790105422502e-01,3.884557666903546997e-03
3.909676592686706087e-01,1.505708496164047672e-01,3.876242834538296336e-03
4.018278720261336812e-01,1.444944584737739846e-01,3.870065490817660610e-03
4.126880847835967536e-01,1.387704711434940563e-01,3.876107082023880906e-03
4.235482975410598261e-01,1.333948537728550932e-01,3.884211689571408048e-03
4.344085102985228986e-01,1.285333680178639970e-01,3.880988272837829732e-03
4.452687230559859710e-01,1.237841405083693891e-01,3.878503871534796747e-03
4.561289358134490435e-01,1.193155756152810970e-01,3.873813062244917376e-03
4.669891485709121159e-01,1.151221237673023950e-01,3.875157612926051227e-03
4.778493613283751884e-01,1.111855385269500396e-01,3.885035755463147993e-03
4.887095740858382609e-01,1.075085168930345059e-01,3.894571726336461346e-03
4.995697868433013333e-01,1.039750693860097552e-01,3.900863618617282039e-03
5.104299996007644058e-01,1.007426365039878480e-01,3.920142923095009876e-03
5.212902123582274783e-01,9.753529735779782606e-02,3.951408515967846577e-03
5.321504251156905507e-01,9.451074127689486348e-02,3.968744237591198196e-03
5.430106378731536232e-01,9.159871705614176796e-02,3.984406009891687528e-03
5.538708506306166957e-01,8.887794212731728316e-02,4.000643188673550649e-03
5.647310633880797681e-01,8.628874124047623828e-02,4.010779879918133055e-03
5.755912761455428406e-01,8.372409748370265858e-02,4.011388143875116094e-03
5.864514889030059130e-01,8.134585937874343198e-02,4.006709030551261833e-03
5.973117016604689855e-01,7.892825370847490751e-02,3.995075095038939234e-03
6.081719144179320580e-01,7.681716997376544787e-02,3.978200996677325185e-03
6.190321271753951304e-01,7.492017819046367655e-02,3.958452533896847196e-03
6.298923399328582029e-01,7.303770258732741882e-02,3.940944004532961724e-03
6.407525526903212754e-01,7.116505982912320338e-02,3.929423740727799007e-03
6.516127654477843478e-01,6.932871022569141173e-02,3.919036788943897932e-03
6.624729782052474203e-01,6.762695806109049468e-02,3.905416785855186142e-03
6.733331909627104928e-01,6.585935701685639854e-02,3.896402811847767163e-03
6.841934037201735652e-01,6.414927744934827147e-02,3.895012784094456677e-03
6.950536164776366377e-01,6.247982048044697229e-02,3.890556030302815254e-03
7.059138292350997101e-01,6.097015746131879271e-02,3.892742274261767627e-03
7.167740419925627826e-01,5.949145904924568740e-02,3.908644757176663563e-03
7.276342547500258551e-01,5.811470349794974066e-02,3.917517736287041454e-03
7.384944675074889275e-01,5.690388942099029734e-02,3.929009263444173394e-03
7.493546802649520000e-01,5.574709336896903344e-02,3.941992490747192948e-03
7.602148930224150725e-01,5.458504110591645697e-02,3.959182094174693543e-03
7.710751057798781449e-01,5.346831790086697261e-02,3.964490518181749447e-03
7.819353185373412174e-01,5.256479386827869749e-02,3.971540749228679931e-03
7.927955312948042899e-01,5.192197934159231004e-02,3.980090652693293006e-03
8.036557440522673623e-01,5.132267061515226325e-02,3.987256301418042222e-03
8.145159568097304348e-01,5.065938108279998547e-02,3.994975074854704468e-03
8.253761695671935072e-01,4.989548433404204092e-02,4.003118191760671532e-03
8.362363823246565797e-01,4.914768600239843854e-02,4.015149780889889185e-03
8.470965950821196522e-01,4.852038184668481385e-02,4.030944656841641688e-03
8.579568078395827246e-01,4.807889595423007340e-02,4.044728676704410428e-03
8.688170205970457971e-01,4.761902917307871824e-02,4.063700063069808875e-03
8.796772333545088696e-01,4.720137141908031103e-02,4.081411489403733751e-03
8.905374461119719420e-01,4.680725241757232452e-02,4.104658033932163247e-03
9.013976588694350145e-01,4.633975520204148407e-02,4.128177068226578268e-03
9.122578716268980870e-01,4.590201240960197632e-02,4.155105527888096166e-03
9.231180843843611594e-01,4.557365232178675618e-02,4.194024207699701377e-03
9.339782971418242319e-01,4.529542473187939816e-02,4.225754779463802499e-03
9.448385098992873043e-01,4.525312435560955443e-02,4.254824912570879906e-03
9.556987226567503768e-01,4.507104715634762532e-02,4.278945047690976312e-03
9.665589354142134493e-01,4.500866305016656271e-02,4.310006913416053638e-03
9.774191481716765217e-01,4.501149366800720475e-02,4.347060926939787760e-03
9.882793609291395942e-01,4.498711596184383488e-02,4.396557831558615959e-03
9.991395736866026667e-01,4.482645661325129066e-02,4.439845110107672535e-03
1.009999786444065739e+00,4.474529600172809374e-02,4.488582458640835889e-03
1.020859999201528812e+00,4.471211110056183546e-02,4.535462299125085466e-03
1.031720211958991884e+00,4.476201930973306570e-02,4.578332104773227482e-03
1.042580424716454957e+00,4.476325373265598734e-02,4.607919478681611093e-03
1.053440637473918029e+00,4.474665746434101227e-02,4.644237218101320702e-03
1.064300850231381101e+00,4.480333478901620675e-02,4.673189222109909793e-03
1.075161062988844174e+00,4.486608398358944705e-02,4.690795773621802243e-03
1.086021275746307246e+00,4.489435397103708897e-02,4.697047551125756344e-03
1.096881488503770319e+00,4.486608398358944705e-02,4.690795773621802243e-03
1.107741701261233391e+00,4.480333478901620675e-02,4.673189222109909793e-03
1.118601914018696464e+00,4.474665746434101227e-02,4.644237218101320702e-03
1.129462126776159536e+00,4.476325373265598734e-02,4.607919478681611093e-03
1.140322339533622609e+00,4.476201930973306570e-02,4.578332104773227482e-03
1.151182552291085681e+00,4.471211110056183546e-02,4.535462299125085466e-03
1.162042765048548754e+00,4.474529600172809374e-02,4.488582458640835889e-03
1.172902977806011826e+00,4.482645661325129066e-02,4.439845110107672535e-03
1.183763190563474899e+00,4.498711596184383488e-02,4.396557831558615959e-03
1.194623403320937971e+00,4.501149366800720475e-02,4.347060926939787760e-03
1.205483616078401043e+00,4.500866305016656271e-02,4.310006913416053638e-03
1.216343828835864116e+00,4.507104715634762532e-02,4.278945047690976312e-03
1.227204041593327188e+00,4.525312435560955443e-02,4.254824912570879906e-03
1.238064254350790261e+00,4.529542473187939816e-02,4.225754779463802499e-03
1.248924467108253333e+00,4.557365232178675618e-02,4.194024207699701377e-03
1.259784679865716406e+00,4.590201240960197632e-02,4.155105527888096166e-03
1.270644892623179478e+00,4.633975520204148407e-02,4.128177068226578268e-03
1.281505105380642551e+00,4.680725241757232452e-02,4.104658033932163247e-03
1.292365318138105623e+00,4.720137141908031103e-02,4.081411489403733751e-03
1.303225530895568696e+00,4.761902917307871824e-02,4.063700063069808875e-03
1.314085743653031768e+00,4.807889595423007340e-02,4.044728676704410428e-03
1.324945956410494841e+00,4.852038184668481385e-02,4.030944656841641688e-03
1.335806169167957913e+00,4.914768600239843854e-02,4.015149780889889185e-03
1.346666381925420986e+00,4.989548433404204092e-02,4.003118191760671532e-03
1.357526594682884058e+00,5.065938108279998547e-02,3.994975074854704468e-03
1.368386807440347130e+00,5.132267061515226325e-02,3.987256301418042222e-03
1.379247020197810203e+00,5.192197934159231004e-02,3.980090652693293006e-03
1.390107232955273275e+00,5.256479386827869749e-02,3.971540749228679931e-03
1.400967445712736348e+00,5.346831790086697261e-02,3.964490518181749447e-03
1.411827658470199420e+00,5.458504110591645697e-02,3.959182094174693543e-03
1.422687871227662493e+00,5.574709336896903344e-02,3.941992490747192948e-03
1.433548083985125565e+00,5.690388942099029734e-02,3.929009263444173394e-03
1.444408296742588638e+00,5.811470349794974066e-02,3.917517736287041454e-03
1.455268509500051710e+00,5.949145904924568740e-02,3.908644757176663563e-03
1.466128722257514783e+00,6.097015746131879271e-02,3.892742274261767627e-03
1.476988935014977855e+00,6.247982048044697229e-02,3.890556030302815254e-03
1.487849147772440928e+00,6.414927744934827147e-02,3.895012784094456677e-03
1.498709360529904000e+00,6.585935701685639854e-02,3.896402811847767163e-03
1.509569573287367072e+00,6.762695806109049468e-02,3.905416785855186142e-03
1.520429786044830145e+00,6.932871022569141173e-02,3.919036788943897932e-03
1.531289998802293217e+00,7.116505982912320338e-02,3.929423740727799007e-03
1.542150211559756290e+00,7.303770258732741882e-02,3.940944004532961724e-03
1.553010424317219362e+00,7.492017819046367655e-02,3.958452533896847196e-03
1.563870637074682435e+00,7.681716997376544787e-02,3.978200996677325185e-03
1.574730849832145507e+00,7.892825370847490751e-02,3.995075095038939234e-03
