#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.002168372646828898e+00,1.917070049819470700e-03
6.787632973414421678e-02,9.675956743124891624e-01,1.917665898302297603e-03
1.357526594682884336e-01,9.346175600518118465e-01,1.917389832811723042e-03
2.036289892024326642e-01,9.031328320096465578e-01,1.916265736033857022e-03
2.715053189365768671e-01,8.730660562890689702e-01,1.913163871957418872e-03
3.393816486707210700e-01,8.443417989931567558e-01,1.908138286175471319e-03
4.072579784048653284e-01,8.169044784358034939e-01,1.902781977557954163e-03
4.751343081390095313e-01,7.907192772398967673e-01,1.895606874119325300e-03
5.430106378731537342e-01,7.656832296562979812e-01,1.889103683339903809e-03
6.108869676072979926e-01,7.417407427384319352e-01,1.882888350203062392e-03
6.787632973414421400e-01,7.188238370213441142e-01,1.876908336026758117e-03
7.466396270755863984e-01,6.968947336239811330e-01,1.872069581114479530e-03
8.145159568097306568e-01,6.758825478798056174e-01,1.867652140796926879e-03
8.823922865438748042e-01,6.557571467677437704e-01,1.862728669854528960e-03
9.502686162780190626e-01,6.364843772784862796e-01,1.857566860837349268e-03
1.018144946012163210e+00,6.180125876303951271e-01,1.851815728079220973e-03
1.086021275746307468e+00,6.003071743953100059e-01,1.847472683436652933e-03
1.153897605480451727e+00,5.833389504317436636e-01,1.843293036495280944e-03
1.221773935214595985e+00,5.670907547815058347e-01,1.838307665086983062e-03
1.289650264948740022e+00,5.515381634824496615e-01,1.835339877290906004e-03
1.357526594682884280e+00,5.366267434165374883e-01,1.833277540944184972e-03
1.425402924417028538e+00,5.223422500876349073e-01,1.832079052458878950e-03
1.493279254151172797e+00,5.086249354352727625e-01,1.832358167001363770e-03
1.561155583885317055e+00,4.954720519044666927e-01,1.830294858765531231e-03
1.629031913619461314e+00,4.828445707018527711e-01,1.826172165537251263e-03
1.696908243353605350e+00,4.707334947109003132e-01,1.822496584115272265e-03
1.764784573087749608e+00,4.591112808189246608e-01,1.817625829740958463e-03
1.832660902821893867e+00,4.479329209223273933e-01,1.811461817847129100e-03
1.900537232556038125e+00,4.371952170472725996e-01,1.805480913705842039e-03
