#tau, F(tau), dF(tau)
0.000000000000000000e+00,9.604308259724988472e-01,2.241716938256044234e-02
1.086021275746307246e-02,8.979405189841761503e-01,2.242838169535167625e-02
2.172042551492614493e-02,8.400144321355549337e-01,2.217762061566401835e-02
3.258063827238921739e-02,7.860707747345994090e-01,2.187496374693375170e-02
4.344085102985228986e-02,7.359963041515298343e-01,2.150466368949990881e-02
5.430106378731536232e-02,6.895493393861761300e-01,2.126139520056700635e-02
6.516127654477843478e-02,6.461403009749328019e-01,2.105286629155886033e-02
7.602148930224150725e-02,6.055822584001328002e-01,2.059179680333842258e-02
8.688170205970457971e-02,5.677098911671892845e-01,2.015978818890993771e-02
9.774191481716765217e-02,5.320249469771738404e-01,1.980526534379916520e-02
1.086021275746307246e-01,4.992759878663155515e-01,1.954979324926738732e-02
1.194623403320937971e-01,4.679250368916691438e-01,1.942606122315001030e-02
1.303225530895568696e-01,4.396430146363998759e-01,1.909971230839164688e-02
1.411827658470199420e-01,4.135744543564622844e-01,1.867514235823088814e-02
1.520429786044830145e-01,3.889684268399541400e-01,1.828001812888563338e-02
1.629031913619460870e-01,3.665795266030456023e-01,1.813242823702617204e-02
1.737634041194091594e-01,3.451730042704612700e-01,1.816199851463344908e-02
1.846236168768722319e-01,3.250068056300600694e-01,1.825010723384618005e-02
1.954838296343353043e-01,3.066676084462355290e-01,1.834367609117911954e-02
2.063440423917983768e-01,2.893282757225135171e-01,1.848831055494535441e-02
2.172042551492614493e-01,2.737252281747356575e-01,1.864068431967947498e-02
2.280644679067245217e-01,2.590499607697902551e-01,1.877883338123078824e-02
2.389246806641875942e-01,2.457135984697354503e-01,1.872985398666728377e-02
2.497848934216506667e-01,2.326434288921426508e-01,1.869514754502917334e-02
2.606451061791137391e-01,2.197911921974835259e-01,1.870340528443648065e-02
2.715053189365768116e-01,2.073995620725004874e-01,1.877124379554409930e-02
2.823655316940398841e-01,1.955103840742529742e-01,1.895495340709231827e-02
2.932257444515029565e-01,1.849411737755115304e-01,1.914008367711873132e-02
3.040859572089660290e-01,1.754553892381321423e-01,1.933766734035350168e-02
3.149461699664291014e-01,1.661332987165707598e-01,1.969724199896345090e-02
3.258063827238921739e-01,1.580255693152944341e-01,2.026200804766544947e-02
3.366665954813552464e-01,1.503253072078589991e-01,2.082875831192544311e-02
3.475268082388183188e-01,1.432341041290034478e-01,2.124228144862699147e-02
3.583870209962813913e-01,1.363028534011923587e-01,2.157716374937266798e-02
3.692472337537444638e-01,1.295822278559306262e-01,2.202502715854249074e-02
3.801074465112075362e-01,1.232516975894897421e-01,2.233280266303946937e-02
3.909676592686706087e-01,1.174617080699691118e-01,2.253346928635839228e-02
4.018278720261336812e-01,1.124318270587269381e-01,2.288591146297869194e-02
4.126880847835967536e-01,1.079598847719970833e-01,2.312115832803892865e-02
4.235482975410598261e-01,1.034739066607360120e-01,2.326443192146298439e-02
4.344085102985228986e-01,1.005840280548497556e-01,2.322985520847378402e-02
4.452687230559859710e-01,9.826744885277885477e-02,2.349026646531777660e-02
4.561289358134490435e-01,9.664775853280922757e-02,2.377713558609602026e-02
