#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.016745218166385190e+00,4.184534740608324838e-03
2.715053189365767561e-01,9.822269483008035929e-01,4.166261114446013526e-03
5.430106378731535122e-01,9.493532120877210545e-01,4.144726862322465656e-03
8.145159568097302127e-01,9.179822050300413538e-01,4.124191571434186569e-03
1.086021275746307024e+00,8.880209405722926386e-01,4.097258087040106349e-03
1.357526594682883836e+00,8.593880554784358861e-01,4.068337459194726509e-03
1.629031913619460425e+00,8.320911879298138469e-01,4.038077138948974014e-03
1.900537232556037237e+00,8.060028135074926992e-01,4.016842400670307331e-03
2.172042551492614049e+00,7.810744463646905889e-01,4.003316524320620594e-03
2.443547870429190638e+00,7.572270479292559919e-01,4.004733794152635917e-03
2.715053189365767672e+00,7.343965238968807041e-01,4.012206732141514014e-03
2.986558508302344261e+00,7.125420266021252891e-01,4.022291496227656943e-03
3.258063827238920851e+00,6.916173948620942813e-01,4.027071411244327777e-03
3.529569146175497885e+00,6.715611911312081572e-01,4.024924342789253616e-03
3.801074465112074474e+00,6.523305751749808312e-01,4.012265901203643063e-03
4.072579784048651064e+00,6.339384986922106391e-01,4.002703835776261383e-03
4.344085102985228097e+00,6.163211994734304477e-01,3.992028500408363080e-03
4.615590421921805131e+00,5.993903402909416256e-01,3.982315855680778130e-03
4.887095740858381276e+00,5.831814552927283568e-01,3.966879708622539531e-03
5.158601059794958310e+00,5.676633275637389398e-01,3.950360714776075984e-03
5.430106378731535344e+00,5.527688739460969725e-01,3.936814616945138491e-03
5.701611697668111489e+00,5.384648849557052142e-01,3.909681165070437274e-03
5.973117016604688523e+00,5.247423940318571844e-01,3.884195958103586928e-03
6.244622335541265556e+00,5.116213268650114943e-01,3.851689315861345046e-03
6.516127654477841702e+00,4.990143425119920040e-01,3.826166395875053861e-03
6.787632973414418736e+00,4.868978622390897071e-01,3.811906078142172742e-03
7.059138292350995769e+00,4.752519603558463257e-01,3.794036600269624134e-03
7.330643611287572803e+00,4.640616925944179294e-01,3.779946873444610216e-03
7.602148930224148948e+00,4.533031481262545515e-01,3.775785999839496171e-03
7.873654249160725982e+00,4.429919354088818206e-01,3.775843765194036687e-03
8.145159568097302127e+00,4.330559898618087655e-01,3.757289572089146917e-03
8.416664887033880049e+00,4.235295172536553410e-01,3.748178624331354424e-03
8.688170205970456195e+00,4.143451023317042958e-01,3.744757003764947589e-03
8.959675524907032340e+00,4.055439248562361376e-01,3.739963960563033856e-03
9.231180843843610262e+00,3.970715212733313404e-01,3.718468284208478747e-03
9.502686162780186407e+00,3.888867118227092301e-01,3.708636573139437349e-03
9.774191481716762553e+00,3.809934816424614401e-01,3.705779963834685865e-03
1.004569680065334047e+01,3.734024577674990852e-01,3.683093544394007001e-03
1.031720211958991662e+01,3.661302449398709524e-01,3.661279811744930310e-03
1.058870743852649277e+01,3.591648877453018640e-01,3.644398929901804945e-03
1.086021275746307069e+01,3.524565387481619072e-01,3.630515069260878674e-03
1.113171807639964683e+01,3.460139984617366937e-01,3.610451228853922123e-03
1.140322339533622298e+01,3.398310235030161386e-01,3.604319513684106895e-03
1.167472871427280090e+01,3.338894150747147571e-01,3.605564502165446283e-03
1.194623403320937705e+01,3.281129906203133495e-01,3.610422175582373144e-03
1.221773935214595319e+01,3.225571435592862746e-01,3.596945384413830459e-03
1.248924467108253111e+01,3.172058337108145110e-01,3.580371681709040074e-03
1.276074999001910726e+01,3.120464082614569645e-01,3.560093636296697475e-03
1.303225530895568340e+01,3.071122427427314117e-01,3.544209949882366761e-03
1.330376062789226133e+01,3.023559804303152521e-01,3.526598304132627648e-03
1.357526594682883747e+01,2.977744000042508721e-01,3.512180252893829305e-03
1.384677126576541539e+01,2.933606271013301514e-01,3.499030917701262400e-03
1.411827658470199154e+01,2.891008465761685797e-01,3.478839489880385452e-03
1.438978190363856768e+01,2.849851620025053434e-01,3.463876026522545292e-03
1.466128722257514561e+01,2.810287169050886824e-01,3.443801679611109383e-03
1.493279254151172175e+01,2.771668524183810711e-01,3.418913732175407529e-03
1.520429786044829790e+01,2.734515413849948895e-01,3.397464180294392042e-03
1.547580317938487582e+01,2.698691347069661628e-01,3.385476565827703378e-03
1.574730849832145196e+01,2.664738634718257226e-01,3.378809242283371730e-03
1.601881381725802811e+01,2.631819733606802769e-01,3.374536268972650171e-03
1.629031913619460425e+01,2.600596176658514502e-01,3.370309628786672188e-03
1.656182445513118040e+01,2.570748820731220130e-01,3.385099059868204932e-03
1.683332977406776010e+01,2.541703473844875161e-01,3.399024506304819740e-03
1.710483509300433624e+01,2.513405008255877870e-01,3.412428230722404626e-03
1.737634041194091239e+01,2.486287471921381220e-01,3.428384624771551800e-03
1.764784573087748853e+01,2.460185813705421942e-01,3.449219369665896748e-03
1.791935104981406468e+01,2.434841331726880220e-01,3.458064679226323466e-03
1.819085636875064438e+01,2.410306829065472223e-01,3.461509123516073871e-03
1.846236168768722052e+01,2.386601567221973419e-01,3.458346357163010268e-03
1.873386700662379667e+01,2.363562819724308040e-01,3.450993242838889478e-03
1.900537232556037281e+01,2.341407444503631197e-01,3.452915669949772285e-03
1.927687764449694896e+01,2.320340676171663841e-01,3.453150964730961666e-03
1.954838296343352511e+01,2.300465464129108073e-01,3.442634251905544139e-03
1.981988828237010480e+01,2.281625059611024353e-01,3.438955466792219078e-03
2.009139360130668095e+01,2.263718505785756174e-01,3.426467195320984527e-03
2.036289892024325709e+01,2.246709272220797915e-01,3.402049744495852426e-03
2.063440423917983324e+01,2.230632560969292022e-01,3.378327959630482262e-03
2.090590955811640939e+01,2.215388079389264409e-01,3.354118583365350501e-03
2.117741487705298553e+01,2.200872878080013806e-01,3.331699897824737331e-03
2.144892019598956523e+01,2.187172637510511053e-01,3.312888760320181324e-03
2.172042551492614137e+01,2.174653990385190250e-01,3.286522902879342092e-03
2.199193083386271752e+01,2.162911448903223621e-01,3.274620248743448803e-03
2.226343615279929367e+01,2.152016745550261734e-01,3.266220679863692921e-03
2.253494147173586981e+01,2.141905786021995606e-01,3.256424128589345286e-03
2.280644679067244596e+01,2.132020983080432086e-01,3.249138145470632875e-03
2.307795210960902565e+01,2.123198219440300960e-01,3.223477015287298970e-03
2.334945742854560180e+01,2.115504578259478075e-01,3.199380394007265548e-03
2.362096274748217795e+01,2.108522284228019350e-01,3.164040669947774682e-03
2.389246806641875409e+01,2.101742900144395465e-01,3.143796376151798862e-03
2.416397338535533024e+01,2.095414168759971163e-01,3.127743742365290437e-03
2.443547870429190638e+01,2.089541071497362512e-01,3.112413674820143847e-03
2.470698402322848608e+01,2.084621418523187608e-01,3.102390114340729602e-03
2.497848934216506223e+01,2.080373593412301048e-01,3.098853439505232493e-03
2.524999466110163837e+01,2.076522953731218535e-01,3.098226175183889462e-03
2.552149998003821452e+01,2.072766296890130866e-01,3.105534535442383646e-03
2.579300529897479066e+01,2.069374944374114400e-01,3.113667676341534511e-03
2.606451061791136681e+01,2.066527231112770258e-01,3.129819638116602357e-03
2.633601593684794651e+01,2.064017590399536695e-01,3.150005131276302755e-03
2.660752125578452265e+01,2.061961923333913427e-01,3.162564330412306109e-03
2.687902657472109880e+01,2.060850401901176687e-01,3.173190236955911268e-03
2.715053189365767494e+01,2.060304437982616865e-01,3.183363630235606576e-03
2.742203721259425109e+01,2.060850401901176687e-01,3.173190236955911268e-03
2.769354253153083079e+01,2.061961923333913427e-01,3.162564330412306109e-03
2.796504785046740693e+01,2.064017590399536695e-01,3.150005131276302755e-03
2.823655316940398308e+01,2.066527231112770258e-01,3.129819638116602357e-03
2.850805848834055922e+01,2.069374944374114400e-01,3.113667676341534511e-03
2.877956380727713537e+01,2.072766296890130866e-01,3.105534535442383646e-03
2.905106912621371151e+01,2.076522953731218535e-01,3.098226175183889462e-03
2.932257444515029121e+01,2.080373593412301048e-01,3.098853439505232493e-03
2.959407976408686736e+01,2.084621418523187608e-01,3.102390114340729602e-03
2.986558508302344350e+01,2.089541071497362512e-01,3.112413674820143847e-03
3.013709040196001965e+01,2.095414168759971163e-01,3.127743742365290437e-03
