#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.000193035763893068e+00,1.437614079371671381e-03
1.086021275746307246e-02,9.377242752239792756e-01,1.436177965101333772e-03
2.172042551492614493e-02,8.797499085665265728e-01,1.431318857485944012e-03
3.258063827238921739e-02,8.259346784924334051e-01,1.423403225325624646e-03
4.344085102985228986e-02,7.759328762398215451e-01,1.412859641291785116e-03
5.430106378731536232e-02,7.294820603034717355e-01,1.401403506977846273e-03
6.516127654477843478e-02,6.863405892318633628e-01,1.389958325756369744e-03
7.602148930224150725e-02,6.462109481193223370e-01,1.378140888518926323e-03
8.688170205970457971e-02,6.088835702722575904e-01,1.366450789570463004e-03
9.774191481716765217e-02,5.741517893760548219e-01,1.355416859302495175e-03
1.086021275746307246e-01,5.418468865912451360e-01,1.344780905184315154e-03
1.194623403320937971e-01,5.116648015026324936e-01,1.333439633522127401e-03
1.303225530895568696e-01,4.835565060683030270e-01,1.322026276440176756e-03
1.411827658470199420e-01,4.573199453213717680e-01,1.310755777747222347e-03
1.520429786044830145e-01,4.328091013981804069e-01,1.299254349235851947e-03
1.629031913619460870e-01,4.098588789754938344e-01,1.288227157917652774e-03
1.737634041194091594e-01,3.884050825807512930e-01,1.277517695082096196e-03
1.846236168768722319e-01,3.683282675092373615e-01,1.267731999916574259e-03
1.954838296343353043e-01,3.494747404874691266e-01,1.257655080184564818e-03
2.063440423917983768e-01,3.318332166791079230e-01,1.246976984093640028e-03
2.172042551492614493e-01,3.153101279331234630e-01,1.237820079389894985e-03
2.280644679067245217e-01,2.998241933539271264e-01,1.229786619329984940e-03
2.389246806641875942e-01,2.853118846636956141e-01,1.222746839753196917e-03
2.497848934216506667e-01,2.716787938158245486e-01,1.215717875327435591e-03
2.606451061791137391e-01,2.588903887005757909e-01,1.209088021060577417e-03
2.715053189365768116e-01,2.468900099861378872e-01,1.203727388254327698e-03
2.823655316940398841e-01,2.356820110348974429e-01,1.197417533738932274e-03
2.932257444515029565e-01,2.251681132941854846e-01,1.191197369851016959e-03
3.040859572089660290e-01,2.152785289368322752e-01,1.186017904464836724e-03
3.149461699664291014e-01,2.059211980209679216e-01,1.180850799545083351e-03
3.258063827238921739e-01,1.970862585067824080e-01,1.175933979414292823e-03
3.366665954813552464e-01,1.887371020959366374e-01,1.172635379289632468e-03
3.475268082388183188e-01,1.809332121251805425e-01,1.169023311337416505e-03
3.583870209962813913e-01,1.735602435464651261e-01,1.165400880242356465e-03
3.692472337537444638e-01,1.666124152732178232e-01,1.162294246479553044e-03
3.801074465112075362e-01,1.600694700329887421e-01,1.158950270350630508e-03
3.909676592686706087e-01,1.538655095792878791e-01,1.155434509341364113e-03
4.018278720261336812e-01,1.480251889277185151e-01,1.153225735311081248e-03
4.126880847835967536e-01,1.424738087591848057e-01,1.152033542287880189e-03
4.235482975410598261e-01,1.372271249046376207e-01,1.150124388684363539e-03
4.344085102985228986e-01,1.322368764366897709e-01,1.148424073339788121e-03
4.452687230559859710e-01,1.274647902848292103e-01,1.147188873669568489e-03
4.561289358134490435e-01,1.229711072154087981e-01,1.146824276097644160e-03
4.669891485709121159e-01,1.186904728135613624e-01,1.147498257378933972e-03
4.778493613283751884e-01,1.146754429627169641e-01,1.148903424697672159e-03
4.887095740858382609e-01,1.108340527726642127e-01,1.149364857825714917e-03
4.995697868433013333e-01,1.072405027523449100e-01,1.149443852379350255e-03
5.104299996007644058e-01,1.038722947382407780e-01,1.149731857636573278e-03
5.212902123582274783e-01,1.006270747148098749e-01,1.149687733779151738e-03
5.321504251156905507e-01,9.754176673968348310e-02,1.148843097920323629e-03
5.430106378731536232e-01,9.456257714654481283e-02,1.148167747013294172e-03
5.538708506306166957e-01,9.175273037687367572e-02,1.146566425423351182e-03
5.647310633880797681e-01,8.903279691920325256e-02,1.144436565059452331e-03
5.755912761455428406e-01,8.641249478260754069e-02,1.143832271213917218e-03
5.864514889030059130e-01,8.393944153935338492e-02,1.142939127464294479e-03
5.973117016604689855e-01,8.159409706920334182e-02,1.141895253725748287e-03
6.081719144179320580e-01,7.940782151622548246e-02,1.141918897731292095e-03
6.190321271753951304e-01,7.732729206756992768e-02,1.142518171008527570e-03
6.298923399328582029e-01,7.537522837672362697e-02,1.143610090121814507e-03
6.407525526903212754e-01,7.351222182682974615e-02,1.144833749202007556e-03
6.516127654477843478e-01,7.171583816569654379e-02,1.145268912000625477e-03
6.624729782052474203e-01,7.002272361949976598e-02,1.145872811803955692e-03
