#tau, F(tau), dF(tau)
0.000000000000000000e+00,9.964441184210441893e-01,7.405238171368822529e-03
1.086021275746307246e-02,9.338776036360668664e-01,7.398482728927520402e-03
2.172042551492614493e-02,8.758922165847713437e-01,7.386030545252271311e-03
3.258063827238921739e-02,8.220491566653175264e-01,7.345945670441516966e-03
4.344085102985228986e-02,7.718675743277572110e-01,7.280025777524080574e-03
5.430106378731536232e-02,7.252665345788097406e-01,7.224372913377180051e-03
6.516127654477843478e-02,6.818279562391346138e-01,7.168434161516613022e-03
7.602148930224150725e-02,6.414433212330354905e-01,7.096689085510659960e-03
8.688170205970457971e-02,6.036542574933246863e-01,7.037881549370607337e-03
9.774191481716765217e-02,5.685499444328528940e-01,7.001503145543651850e-03
1.086021275746307246e-01,5.358839806745346879e-01,6.954501224711454391e-03
1.194623403320937971e-01,5.052715356581702899e-01,6.939205670564135842e-03
1.303225530895568696e-01,4.767485492731589058e-01,6.891897664200567937e-03
1.411827658470199420e-01,4.501725704725076382e-01,6.839453552171040340e-03
1.520429786044830145e-01,4.251146887467904256e-01,6.790508035648032924e-03
1.629031913619460870e-01,4.017291799044655498e-01,6.736810772048957945e-03
1.737634041194091594e-01,3.799088102974230718e-01,6.691926079451806196e-03
1.846236168768722319e-01,3.597565669350656359e-01,6.637517869103946692e-03
1.954838296343353043e-01,3.409709545245281914e-01,6.588909251953803739e-03
2.063440423917983768e-01,3.233728516112291396e-01,6.551654634738226027e-03
2.172042551492614493e-01,3.068313348857623080e-01,6.497038735083704095e-03
2.280644679067245217e-01,2.915137235187256204e-01,6.450018643194323394e-03
2.389246806641875942e-01,2.773456868829334288e-01,6.414302760466477314e-03
2.497848934216506667e-01,2.638449473055153871e-01,6.390632046593005752e-03
2.606451061791137391e-01,2.514404642646998478e-01,6.379541902883210762e-03
2.715053189365768116e-01,2.396095463763813216e-01,6.369136738935752932e-03
2.823655316940398841e-01,2.284021490432270873e-01,6.360697144927030672e-03
2.932257444515029565e-01,2.178332422687553893e-01,6.330273047957538091e-03
3.040859572089660290e-01,2.078438338994621493e-01,6.295786472690091326e-03
3.149461699664291014e-01,1.983057027404763750e-01,6.275969891248097191e-03
3.258063827238921739e-01,1.893153109090633390e-01,6.245023163225261152e-03
3.366665954813552464e-01,1.809539995987287653e-01,6.216433094797677028e-03
3.475268082388183188e-01,1.732024526241091877e-01,6.180992101138552131e-03
3.583870209962813913e-01,1.657929944734533867e-01,6.152002225011353465e-03
3.692472337537444638e-01,1.587479204013572953e-01,6.139528646479166206e-03
3.801074465112075362e-01,1.518394679213768972e-01,6.114419426150810230e-03
3.909676592686706087e-01,1.452927177957097082e-01,6.089010008861346288e-03
4.018278720261336812e-01,1.393244401386863895e-01,6.080800651451578366e-03
4.126880847835967536e-01,1.338583979917525313e-01,6.096081281461545633e-03
4.235482975410598261e-01,1.287779369121120066e-01,6.105381961890803989e-03
4.344085102985228986e-01,1.243059942734277418e-01,6.118102287384825401e-03
4.452687230559859710e-01,1.200348344789075872e-01,6.137547360947886305e-03
4.561289358134490435e-01,1.159968563313718420e-01,6.164075909631599841e-03
4.669891485709121159e-01,1.121840627438380755e-01,6.201616587985674979e-03
4.778493613283751884e-01,1.083889681670597432e-01,6.270438305686599871e-03
4.887095740858382609e-01,1.046143743389864045e-01,6.345426561599609196e-03
4.995697868433013333e-01,1.011408581239832127e-01,6.406149556215048717e-03
5.104299996007644058e-01,9.773454885994249663e-02,6.480832054347529687e-03
5.212902123582274783e-01,9.436457043294736724e-02,6.567800166240156563e-03
5.321504251156905507e-01,9.106772688724938669e-02,6.596464483566366437e-03
5.430106378731536232e-01,8.791901931320708630e-02,6.615950292744072689e-03
5.538708506306166957e-01,8.516483946272747352e-02,6.620457895325633675e-03
5.647310633880797681e-01,8.264522715659790297e-02,6.619017059388978587e-03
5.755912761455428406e-01,8.028839557646672009e-02,6.595589284744413604e-03
5.864514889030059130e-01,7.833787884763628029e-02,6.562282073919996003e-03
5.973117016604689855e-01,7.618438645170046153e-02,6.508248320194361808e-03
6.081719144179320580e-01,7.444121571103153034e-02,6.454137287210479773e-03
6.190321271753951304e-01,7.293708040409922766e-02,6.387102817335835701e-03
6.298923399328582029e-01,7.150733903057780727e-02,6.319529701201796225e-03
6.407525526903212754e-01,7.003384290081099417e-02,6.286909571575034078e-03
6.516127654477843478e-01,6.858592245369596330e-02,6.254362146274295049e-03
6.624729782052474203e-01,6.712389537923077465e-02,6.214845288514911706e-03
6.733331909627104928e-01,6.551652056851435535e-02,6.210557913818937417e-03
6.841934037201735652e-01,6.387532024492523219e-02,6.217010780893321605e-03
6.950536164776366377e-01,6.230116793241251283e-02,6.236255288409890164e-03
7.059138292350997101e-01,6.098164477519060767e-02,6.266844041980001653e-03
7.167740419925627826e-01,5.951335626876803203e-02,6.311218969537376114e-03
7.276342547500258551e-01,5.794469786245320941e-02,6.354130182253266666e-03
7.384944675074889275e-01,5.645074802373355877e-02,6.403733299547038210e-03
7.493546802649520000e-01,5.500784845462769468e-02,6.451094365066929043e-03
7.602148930224150725e-01,5.373760255441819428e-02,6.503781413888474854e-03
7.710751057798781449e-01,5.242209975990114179e-02,6.523172687783545219e-03
7.819353185373412174e-01,5.140463693932339345e-02,6.532072131230759644e-03
7.927955312948042899e-01,5.064332291483276960e-02,6.541663374961559710e-03
8.036557440522673623e-01,4.988744308992366233e-02,6.553515964371774485e-03
8.145159568097304348e-01,4.927712005229161613e-02,6.577583904491775442e-03
8.253761695671935072e-01,4.843940123550214555e-02,6.576632658631096501e-03
8.362363823246565797e-01,4.750055425057266023e-02,6.599189176180130477e-03
8.470965950821196522e-01,4.670110829804523245e-02,6.621008027253761155e-03
8.579568078395827246e-01,4.631039794946274074e-02,6.636354663001326273e-03
8.688170205970457971e-01,4.575269492374710312e-02,6.677494965963887835e-03
8.796772333545088696e-01,4.531173904759967092e-02,6.727462039962031105e-03
8.905374461119719420e-01,4.493890295065047780e-02,6.769759035524009275e-03
9.013976588694350145e-01,4.449765872532650962e-02,6.808692508113064513e-03
9.122578716268980870e-01,4.405872886993195126e-02,6.850569397139310950e-03
9.231180843843611594e-01,4.363692941722813884e-02,6.918172374026948512e-03
9.339782971418242319e-01,4.335126038350325950e-02,6.967984810659869944e-03
9.448385098992873043e-01,4.321399922672643917e-02,7.007536327125383178e-03
9.556987226567503768e-01,4.284268702604271395e-02,7.025688579626174733e-03
9.665589354142134493e-01,4.271254973012610090e-02,7.053555387773394539e-03
9.774191481716765217e-01,4.264033220868585633e-02,7.081902960966156638e-03
9.882793609291395942e-01,4.259194833768937399e-02,7.127779053425667422e-03
9.991395736866026667e-01,4.248587789128361464e-02,7.163645128646358926e-03
1.009999786444065739e+00,4.251898205356836186e-02,7.224963443162616891e-03
1.020859999201528812e+00,4.266625213639439751e-02,7.287611296849106322e-03
1.031720211958991884e+00,4.295659316307707393e-02,7.360722069792435818e-03
1.042580424716454957e+00,4.305144616551764142e-02,7.402169993039200459e-03
1.053440637473918029e+00,4.322432883420559285e-02,7.439739177703324179e-03
1.064300850231381101e+00,4.333813963460234758e-02,7.468955613908072159e-03
1.075161062988844174e+00,4.342534054731016918e-02,7.505576020896839728e-03
1.086021275746307246e+00,4.356165063362539558e-02,7.521157399853517153e-03
1.096881488503770319e+00,4.342534054731016918e-02,7.505576020896839728e-03
1.107741701261233391e+00,4.333813963460234758e-02,7.468955613908072159e-03
1.118601914018696464e+00,4.322432883420559285e-02,7.439739177703324179e-03
1.129462126776159536e+00,4.305144616551764142e-02,7.402169993039200459e-03
1.140322339533622609e+00,4.295659316307707393e-02,7.360722069792435818e-03
1.151182552291085681e+00,4.266625213639439751e-02,7.287611296849106322e-03
1.162042765048548754e+00,4.251898205356836186e-02,7.224963443162616891e-03
1.172902977806011826e+00,4.248587789128361464e-02,7.163645128646358926e-03
1.183763190563474899e+00,4.259194833768937399e-02,7.127779053425667422e-03
1.194623403320937971e+00,4.264033220868585633e-02,7.081902960966156638e-03
1.205483616078401043e+00,4.271254973012610090e-02,7.053555387773394539e-03
1.216343828835864116e+00,4.284268702604271395e-02,7.025688579626174733e-03
1.227204041593327188e+00,4.321399922672643917e-02,7.007536327125383178e-03
1.238064254350790261e+00,4.335126038350325950e-02,6.967984810659869944e-03
1.248924467108253333e+00,4.363692941722813884e-02,6.918172374026948512e-03
1.259784679865716406e+00,4.405872886993195126e-02,6.850569397139310950e-03
1.270644892623179478e+00,4.449765872532650962e-02,6.808692508113064513e-03
1.281505105380642551e+00,4.493890295065047780e-02,6.769759035524009275e-03
1.292365318138105623e+00,4.531173904759967092e-02,6.727462039962031105e-03
1.303225530895568696e+00,4.575269492374710312e-02,6.677494965963887835e-03
1.314085743653031768e+00,4.631039794946274074e-02,6.636354663001326273e-03
1.324945956410494841e+00,4.670110829804523245e-02,6.621008027253761155e-03
1.335806169167957913e+00,4.750055425057266023e-02,6.599189176180130477e-03
1.346666381925420986e+00,4.843940123550214555e-02,6.576632658631096501e-03
1.357526594682884058e+00,4.927712005229161613e-02,6.577583904491775442e-03
1.368386807440347130e+00,4.988744308992366233e-02,6.553515964371774485e-03
1.379247020197810203e+00,5.064332291483276960e-02,6.541663374961559710e-03
1.390107232955273275e+00,5.140463693932339345e-02,6.532072131230759644e-03
1.400967445712736348e+00,5.242209975990114179e-02,6.523172687783545219e-03
1.411827658470199420e+00,5.373760255441819428e-02,6.503781413888474854e-03
1.422687871227662493e+00,5.500784845462769468e-02,6.451094365066929043e-03
1.433548083985125565e+00,5.645074802373355877e-02,6.403733299547038210e-03
1.444408296742588638e+00,5.794469786245320941e-02,6.354130182253266666e-03
1.455268509500051710e+00,5.951335626876803203e-02,6.311218969537376114e-03
1.466128722257514783e+00,6.098164477519060767e-02,6.266844041980001653e-03
