#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.038892054295978751e+00,6.449835336390659477e-05
1.086021275746307024e+00,1.004370042892543946e+00,6.448314878427877388e-05
2.172042551492614049e+00,9.714836488046115770e-01,6.444942354384607867e-05
3.258063827238920851e+00,9.401416834063155425e-01,6.439566716608220926e-05
4.344085102985228097e+00,9.102573923200532047e-01,6.432902648392736962e-05
5.430106378731535344e+00,8.817517097897873413e-01,6.425407710594493191e-05
6.516127654477841702e+00,8.545493602431467606e-01,6.416898654034266288e-05
7.602148930224148948e+00,8.285800426635857585e-01,6.407167347487247218e-05
8.688170205970456195e+00,8.037774457015668395e-01,6.396366456776796030e-05
9.774191481716762553e+00,7.800803253986284824e-01,6.385123310454813802e-05
1.086021275746307069e+01,7.574306311360626820e-01,6.372878694058345416e-05
1.194623403320937705e+01,7.357727629529443591e-01,6.360136026485946532e-05
1.303225530895568340e+01,7.150557510864279376e-01,6.347590043195588288e-05
1.411827658470199154e+01,6.952320523258664897e-01,6.335272624124448223e-05
1.520429786044829790e+01,6.762561719393775928e-01,6.323552796512155953e-05
1.629031913619460425e+01,6.580848676544388542e-01,6.312020199337407258e-05
1.737634041194091239e+01,6.406778268090798090e-01,6.300592825799959760e-05
1.846236168768722052e+01,6.239974787540250034e-01,6.289314613420382745e-05
1.954838296343352511e+01,6.080082614863592250e-01,6.277664667200699602e-05
2.063440423917983324e+01,5.926762364956835727e-01,6.266239579456429562e-05
2.172042551492614137e+01,5.779697970745751867e-01,6.255807321517996473e-05
2.280644679067244596e+01,5.638593345613965857e-01,6.244941205758877223e-05
2.389246806641875409e+01,5.503166312170727492e-01,6.233633179676608153e-05
2.497848934216506223e+01,5.373147648200069515e-01,6.222920108181821902e-05
2.606451061791136681e+01,5.248282805237136639e-01,6.212935159169010271e-05
2.715053189365767494e+01,5.128343916116754331e-01,6.203257675058059472e-05
2.823655316940398308e+01,5.013109608928749683e-01,6.193620900949044477e-05
2.932257444515029121e+01,4.902362501429936570e-01,6.185117896972390256e-05
3.040859572089659579e+01,4.795900370184429384e-01,6.178367124388594244e-05
3.149461699664290393e+01,4.693534403076590200e-01,6.172141700194167207e-05
3.258063827238920851e+01,4.595074853213753086e-01,6.165961883080319720e-05
3.366665954813552020e+01,4.500356663381688826e-01,6.160420545572037744e-05
3.475268082388182478e+01,4.409217953323220640e-01,6.154999572517980209e-05
3.583870209962812936e+01,4.321503970857734633e-01,6.149422740242625317e-05
3.692472337537444105e+01,4.237068055568998792e-01,6.143828998746164597e-05
3.801074465112074563e+01,4.155779942580379860e-01,6.138905783131260580e-05
3.909676592686705021e+01,4.077509826373172386e-01,6.133379039243466550e-05
4.018278720261336190e+01,4.002134094728148073e-01,6.129385847174505025e-05
4.126880847835966648e+01,3.929531220203771880e-01,6.125613250068392501e-05
4.235482975410597106e+01,3.859589524246643255e-01,6.121863346247649325e-05
4.344085102985228275e+01,3.792208542415718697e-01,6.118625720305255044e-05
4.452687230559858733e+01,3.727284096860022378e-01,6.115927503242408309e-05
4.561289358134489191e+01,3.664709295341681550e-01,6.113302103376571121e-05
4.669891485709120360e+01,3.604401013373362272e-01,6.111112226861220489e-05
4.778493613283750818e+01,3.546273222555519355e-01,6.108979190336824919e-05
4.887095740858381276e+01,3.490244770748264780e-01,6.108089459259556306e-05
4.995697868433012445e+01,3.436231184301543062e-01,6.107300944751067493e-05
5.104299996007642903e+01,3.384158072950688156e-01,6.106780594812382095e-05
5.212902123582273362e+01,3.333957686239270579e-01,6.106316618233003073e-05
5.321504251156904530e+01,3.285564496617046637e-01,6.106238960617480199e-05
5.430106378731534988e+01,3.238906924575162272e-01,6.106769434103935263e-05
5.538708506306166157e+01,3.193913609040596735e-01,6.108162334024375422e-05
