#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.005268376414227838e+00,5.663969416654278388e-03
6.787632973414421678e-02,9.707215114647786969e-01,5.665071017635017400e-03
1.357526594682884336e-01,9.377944676377660826e-01,5.670308940475736990e-03
2.036289892024326642e-01,9.063138891549231690e-01,5.687931183643087953e-03
2.715053189365768671e-01,8.763303006925586836e-01,5.691943391613974411e-03
3.393816486707210700e-01,8.476574346106832136e-01,5.693056362783496978e-03
4.072579784048653284e-01,8.202662111511552778e-01,5.683163538003157406e-03
4.751343081390095313e-01,7.941569671451502721e-01,5.675250303042852704e-03
5.430106378731537342e-01,7.692019313001379199e-01,5.652119984246678670e-03
6.108869676072979926e-01,7.453675327756381641e-01,5.617912227293719515e-03
6.787632973414421400e-01,7.225093832744683420e-01,5.563880651452897917e-03
7.466396270755863984e-01,7.006127745019697928e-01,5.508309096346581182e-03
8.145159568097306568e-01,6.796505354099947604e-01,5.447658083578854095e-03
8.823922865438748042e-01,6.596011088033185699e-01,5.377825311103459106e-03
9.502686162780190626e-01,6.404091420921190769e-01,5.319601360243141931e-03
1.018144946012163210e+00,6.220219773359775273e-01,5.274698588835798237e-03
1.086021275746307468e+00,6.043717991915827925e-01,5.227537819244998211e-03
1.153897605480451727e+00,5.874087566449773812e-01,5.184756748880518795e-03
1.221773935214595985e+00,5.711437405708323922e-01,5.124373682464837890e-03
1.289650264948740022e+00,5.556154865543169175e-01,5.080859193635925072e-03
1.357526594682884280e+00,5.407793083261634992e-01,5.041263885448407124e-03
1.425402924417028538e+00,5.265798532965498824e-01,5.008626030461066359e-03
1.493279254151172797e+00,5.129790595426573230e-01,4.975596335239335088e-03
1.561155583885317055e+00,4.999242691240671221e-01,4.938337362068588761e-03
1.629031913619461314e+00,4.873649573644712185e-01,4.912352927728676037e-03
1.696908243353605350e+00,4.752663183757461773e-01,4.895578346999480621e-03
1.764784573087749608e+00,4.636962797782617773e-01,4.899655016087326072e-03
1.832660902821893867e+00,4.525146075259985912e-01,4.894411188330711690e-03
1.900537232556038125e+00,4.417388168400766535e-01,4.891726725071524409e-03
1.968413562290182384e+00,4.313891175910193887e-01,4.872897965951278332e-03
2.036289892024326420e+00,4.214106062972384215e-01,4.861517534917845357e-03
2.104166221758470900e+00,4.118678422673499040e-01,4.845794215651877054e-03
2.172042551492614937e+00,4.027426366178826211e-01,4.839926066061614116e-03
2.239918881226758973e+00,3.939067689480728607e-01,4.826617689091126234e-03
2.307795210960903454e+00,3.854261458912379146e-01,4.845872055774616896e-03
2.375671540695047490e+00,3.772887538021222897e-01,4.867556637107512026e-03
2.443547870429191970e+00,3.693813051287374027e-01,4.873847702648695900e-03
2.511424200163336007e+00,3.618046246695826307e-01,4.871262905342958055e-03
2.579300529897480043e+00,3.544704626567065087e-01,4.860274574534644183e-03
2.647176859631624524e+00,3.474594340180849339e-01,4.857217458243472293e-03
2.715053189365768560e+00,3.406746436522648525e-01,4.861255284395176769e-03
2.782929519099913040e+00,3.342081587471856796e-01,4.885839505488569733e-03
2.850805848834057077e+00,3.280257348000160667e-01,4.920672711461379460e-03
2.918682178568201113e+00,3.220327222504724141e-01,4.959873383062018797e-03
2.986558508302345594e+00,3.162633656013856820e-01,4.997125558161450917e-03
3.054434838036489630e+00,3.107525830179377890e-01,5.031853184361643333e-03
3.122311167770634110e+00,3.054857784825284472e-01,5.041497688993586829e-03
3.190187497504778147e+00,3.003844703312925080e-01,5.035979587420839725e-03
3.258063827238922627e+00,2.955541989991847251e-01,5.023116896517975521e-03
3.325940156973066664e+00,2.909252404328999120e-01,5.039691317828934834e-03
3.393816486707210700e+00,2.864669429954778135e-01,5.037516317346972181e-03
3.461692816441355181e+00,2.821812153969123771e-01,5.034441522472134743e-03
3.529569146175499217e+00,2.779944038868521483e-01,5.031649719493823912e-03
3.597445475909643697e+00,2.739419880157713538e-01,4.993007807788819169e-03
3.665321805643787734e+00,2.700707873170487550e-01,4.958379849337057887e-03
3.733198135377931770e+00,2.663518343096010765e-01,4.936887687633147517e-03
3.801074465112076251e+00,2.627713189152374729e-01,4.903185851259908926e-03
3.868950794846220287e+00,2.593916671784629591e-01,4.862692569482407468e-03
3.936827124580364767e+00,2.561091350972583003e-01,4.821851848288630574e-03
4.004703454314508804e+00,2.529623459797346596e-01,4.775185689249790422e-03
4.072579784048652840e+00,2.499061644483901445e-01,4.720376803266372774e-03
4.140456113782796876e+00,2.469038759051074561e-01,4.647220880594751281e-03
4.208332443516941801e+00,2.440319410266995892e-01,4.583732363153577606e-03
4.276208773251085837e+00,2.413011384107788537e-01,4.532958752773567565e-03
4.344085102985229874e+00,2.386839601780220421e-01,4.492161982750412889e-03
4.411961432719373910e+00,2.361806308825459833e-01,4.459203777593143646e-03
4.479837762453517946e+00,2.337529763244735048e-01,4.410064918450581212e-03
4.547714092187662871e+00,2.314814991547221312e-01,4.366806581783731420e-03
4.615590421921806907e+00,2.293026505582022312e-01,4.319287331147754830e-03
4.683466751655950944e+00,2.272121640066921966e-01,4.316741839514187142e-03
4.751343081390094980e+00,2.252050993096195997e-01,4.283081520189467237e-03
4.819219411124239016e+00,2.233475876544188388e-01,4.235000602243513788e-03
4.887095740858383941e+00,2.215260046579260456e-01,4.171914752482894229e-03
4.954972070592527977e+00,2.198079411093354640e-01,4.093521573773464643e-03
5.022848400326672014e+00,2.181672364540255538e-01,4.026938165707442431e-03
5.090724730060816050e+00,2.165185601275646798e-01,3.967742975941140199e-03
5.158601059794960086e+00,2.150107915094740807e-01,3.923931259117996451e-03
5.226477389529105011e+00,2.135807186158394655e-01,3.872944529719068215e-03
5.294353719263249047e+00,2.121879217056142630e-01,3.837058894348621598e-03
5.362230048997393084e+00,2.108639506322265156e-01,3.808709833724271878e-03
5.430106378731537120e+00,2.096554003749379891e-01,3.800540863718174928e-03
5.497982708465681156e+00,2.085446434355701650e-01,3.780471580062529785e-03
5.565859038199826081e+00,2.074743062372488289e-01,3.764090527027346127e-03
5.633735367933970117e+00,2.064504517411309137e-01,3.737424673873535139e-03
