#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.001999573321767034e+00,5.593716649608102866e-04
6.787632973414421678e-02,9.674369088807972528e-01,5.590981863429819038e-04
1.357526594682884336e-01,9.344525776950048934e-01,5.585375113980439298e-04
2.036289892024326642e-01,9.029605297778808826e-01,5.579127706001116424e-04
2.715053189365768671e-01,8.728862106436130475e-01,5.570748437620141012e-04
3.393816486707210700e-01,8.441518512761000403e-01,5.559146094059277564e-04
4.072579784048653284e-01,8.167014230057190183e-01,5.546566664142662693e-04
4.751343081390095313e-01,7.904719284284090763e-01,5.531914763247027401e-04
5.430106378731537342e-01,7.653913188468758344e-01,5.518109395969702331e-04
6.108869676072979926e-01,7.414043583074226840e-01,5.503541496512069772e-04
6.787632973414421400e-01,7.184585853621365814e-01,5.488546580385305533e-04
7.466396270755863984e-01,6.965060429362714967e-01,5.473523783426452721e-04
8.145159568097306568e-01,6.754907930522792148e-01,5.458946415874011554e-04
8.823922865438748042e-01,6.553727666068275282e-01,5.442213816786051770e-04
9.502686162780190626e-01,6.361075088068722794e-01,5.427477140711764285e-04
1.018144946012163210e+00,6.176562616654081017e-01,5.411821637799092005e-04
1.086021275746307468e+00,5.999719548746682563e-01,5.396990890833843705e-04
1.153897605480451727e+00,5.830183575096011817e-01,5.383593202011689380e-04
1.221773935214595985e+00,5.667650586132815249e-01,5.368726914210984139e-04
1.289650264948740022e+00,5.511778493580857807e-01,5.354844662494495557e-04
1.357526594682884280e+00,5.362252472769868383e-01,5.342972835980800079e-04
1.425402924417028538e+00,5.218743468211035630e-01,5.331274875269055580e-04
1.493279254151172797e+00,5.081035386436250079e-01,5.323621197835221681e-04
1.561155583885317055e+00,4.948891341978953196e-01,5.313456659502372456e-04
1.629031913619461314e+00,4.821990116937246440e-01,5.302189228605803245e-04
1.696908243353605350e+00,4.700172473937892503e-01,5.293418020693321877e-04
1.764784573087749608e+00,4.583203654859365206e-01,5.284176202207968055e-04
1.832660902821893867e+00,4.470849327049115085e-01,5.275369088142637525e-04
1.900537232556038125e+00,4.362868305564316374e-01,5.269103457304839637e-04
1.968413562290182384e+00,4.259116054105506755e-01,5.267188465383460623e-04
2.036289892024326420e+00,4.159317417388810334e-01,5.263400896202883282e-04
2.104166221758470900e+00,4.063386876144308713e-01,5.257542077830954386e-04
2.172042551492614937e+00,3.971242717930035249e-01,5.249533274817970918e-04
2.239918881226758973e+00,3.882620625725176633e-01,5.241003951211457628e-04
2.307795210960903454e+00,3.797375749726776828e-01,5.235501380450299563e-04
2.375671540695047490e+00,3.715412896843335866e-01,5.231534032119430520e-04
2.443547870429191970e+00,3.636647801818863601e-01,5.228524689245437002e-04
2.511424200163336007e+00,3.560843198504000107e-01,5.224747035490181829e-04
2.579300529897480043e+00,3.487967960482082352e-01,5.221532329394395740e-04
2.647176859631624524e+00,3.417826383207575036e-01,5.218942811857793735e-04
2.715053189365768560e+00,3.350307464056493933e-01,5.216648487617223887e-04
2.782929519099913040e+00,3.285307892436600263e-01,5.213872163557403986e-04
2.850805848834057077e+00,3.222755775282676316e-01,5.212838296578105411e-04
2.918682178568201113e+00,3.162558203600002171e-01,5.212752393907479735e-04
2.986558508302345594e+00,3.104620667286779878e-01,5.214530742517839304e-04
3.054434838036489630e+00,3.048822982545785210e-01,5.213578863672840022e-04
3.122311167770634110e+00,2.995130305704851725e-01,5.209847589081431944e-04
3.190187497504778147e+00,2.943489005276305748e-01,5.203619539692038711e-04
3.258063827238922627e+00,2.893736809621115791e-01,5.198681946811062413e-04
3.325940156973066664e+00,2.845814668120071889e-01,5.195171228162349854e-04
3.393816486707210700e+00,2.799630511519888287e-01,5.191171217916221809e-04
3.461692816441355181e+00,2.755134795074646870e-01,5.185117517270032735e-04
3.529569146175499217e+00,2.712298060654051435e-01,5.181673132600753649e-04
3.597445475909643697e+00,2.671097847973295525e-01,5.179728258629741518e-04
3.665321805643787734e+00,2.631397950968140664e-01,5.176544536180458910e-04
3.733198135377931770e+00,2.593177868750515813e-01,5.175872335122243305e-04
3.801074465112076251e+00,2.556352865809179975e-01,5.176189163443638492e-04
3.868950794846220287e+00,2.520918317967858480e-01,5.178420083071807014e-04
3.936827124580364767e+00,2.486834152764244854e-01,5.180992146002434467e-04
4.004703454314508804e+00,2.454032754216276258e-01,5.184065149284418014e-04
4.072579784048652840e+00,2.422440079520600253e-01,5.187798969703226980e-04
4.140456113782796876e+00,2.392123095259240384e-01,5.192041667365231324e-04
4.208332443516941801e+00,2.362992363368805471e-01,5.197534555390593506e-04
4.276208773251085837e+00,2.334958367410044089e-01,5.203213495176370763e-04
4.344085102985229874e+00,2.308089417551295319e-01,5.209247585890198085e-04
4.411961432719373910e+00,2.282273469889180562e-01,5.215655499749104326e-04
4.479837762453517946e+00,2.257439415117166726e-01,5.223911412860217070e-04
4.547714092187662871e+00,2.233637716098506865e-01,5.229128120431493542e-04
4.615590421921806907e+00,2.210784958515207010e-01,5.235163128837497454e-04
4.683466751655950944e+00,2.188868702997151250e-01,5.241613008359299365e-04
4.751343081390094980e+00,2.167830873025223259e-01,5.246671566650912017e-04
4.819219411124239016e+00,2.147656364449762878e-01,5.252589335301165088e-04
4.887095740858383941e+00,2.128356866471838860e-01,5.259711710233228596e-04
4.954972070592527977e+00,2.109884121949090752e-01,5.266878151715767998e-04
5.022848400326672014e+00,2.092260311252522875e-01,5.273788687137361507e-04
5.090724730060816050e+00,2.075305024327647185e-01,5.281035840837614275e-04
5.158601059794960086e+00,2.059163334908468146e-01,5.288808336054408787e-04
5.226477389529105011e+00,2.043766932826640292e-01,5.296852768062878603e-04
5.294353719263249047e+00,2.029145780057334814e-01,5.306549730201599738e-04
5.362230048997393084e+00,2.015290617051425648e-01,5.314286912440310037e-04
5.430106378731537120e+00,2.002168615516248529e-01,5.323985173364052760e-04
5.497982708465681156e+00,1.989734586164882413e-01,5.335935092733494695e-04
5.565859038199826081e+00,1.977953774897605599e-01,5.347015012915942288e-04
5.633735367933970117e+00,1.966845730895510902e-01,5.358683324459903325e-04
5.701611697668114154e+00,1.956470478877907482e-01,5.369273901385983793e-04
5.769488027402258190e+00,1.946805681722043324e-01,5.380115394676729217e-04
5.837364357136402226e+00,1.937804940913329665e-01,5.392432440342862822e-04
5.905240686870547151e+00,1.929484245129085007e-01,5.405205032158242164e-04
5.973117016604691187e+00,1.921895109708525728e-01,5.419288827450752851e-04
6.040993346338835224e+00,1.915001739272503278e-01,5.433868284724582571e-04
6.108869676072979260e+00,1.908735476559546285e-01,5.451706923556647565e-04
6.176746005807123296e+00,1.903081698871759708e-01,5.467447508899814278e-04
6.244622335541268221e+00,1.898001912460783591e-01,5.483281505873627282e-04
6.312498665275412257e+00,1.893598073135970838e-01,5.498470993192483645e-04
6.380374995009556294e+00,1.889819214189201457e-01,5.511089793849695230e-04
6.448251324743700330e+00,1.886646962077409839e-01,5.523235003536793508e-04
6.516127654477845255e+00,1.884096420950254480e-01,5.535236363931215695e-04
6.584003984211989291e+00,1.882160346638107051e-01,5.545812608460005694e-04
6.651880313946133327e+00,1.880772813838368640e-01,5.553619895787391403e-04
6.719756643680277364e+00,1.879953965149430695e-01,5.559361291262516136e-04
6.787632973414421400e+00,1.879643809441660374e-01,5.561750169943007220e-04
6.855509303148566325e+00,1.879953965149430695e-01,5.559361291262516136e-04
6.923385632882710361e+00,1.880772813838368640e-01,5.553619895787391403e-04
6.991261962616854397e+00,1.882160346638107051e-01,5.545812608460005694e-04
7.059138292350998434e+00,1.884096420950254480e-01,5.535236363931215695e-04
7.127014622085142470e+00,1.886646962077409839e-01,5.523235003536793508e-04
7.194890951819287395e+00,1.889819214189201457e-01,5.511089793849695230e-04
7.262767281553431431e+00,1.893598073135970838e-01,5.498470993192483645e-04
7.330643611287575467e+00,1.898001912460783591e-01,5.483281505873627282e-04
7.398519941021719504e+00,1.903081698871759708e-01,5.467447508899814278e-04
7.466396270755863540e+00,1.908735476559546285e-01,5.451706923556647565e-04
7.534272600490008465e+00,1.915001739272503278e-01,5.433868284724582571e-04
7.602148930224152501e+00,1.921895109708525728e-01,5.419288827450752851e-04
7.670025259958296537e+00,1.929484245129085007e-01,5.405205032158242164e-04
7.737901589692440574e+00,1.937804940913329665e-01,5.392432440342862822e-04
7.805777919426584610e+00,1.946805681722043324e-01,5.380115394676729217e-04
7.873654249160729535e+00,1.956470478877907482e-01,5.369273901385983793e-04
7.941530578894873571e+00,1.966845730895510902e-01,5.358683324459903325e-04
8.009406908629017607e+00,1.977953774897605599e-01,5.347015012915942288e-04
8.077283238363161644e+00,1.989734586164882413e-01,5.335935092733494695e-04
8.145159568097305680e+00,2.002168615516248529e-01,5.323985173364052760e-04
8.213035897831449716e+00,2.015290617051425648e-01,5.314286912440310037e-04
8.280912227565593753e+00,2.029145780057334814e-01,5.306549730201599738e-04
8.348788557299737789e+00,2.043766932826640292e-01,5.296852768062878603e-04
8.416664887033883602e+00,2.059163334908468146e-01,5.288808336054408787e-04
8.484541216768027638e+00,2.075305024327647185e-01,5.281035840837614275e-04
8.552417546502171675e+00,2.092260311252522875e-01,5.273788687137361507e-04
8.620293876236315711e+00,2.109884121949090752e-01,5.266878151715767998e-04
8.688170205970459747e+00,2.128356866471838860e-01,5.259711710233228596e-04
8.756046535704603784e+00,2.147656364449762878e-01,5.252589335301165088e-04
8.823922865438747820e+00,2.167830873025223259e-01,5.246671566650912017e-04
8.891799195172891856e+00,2.188868702997151250e-01,5.241613008359299365e-04
8.959675524907035893e+00,2.210784958515207010e-01,5.235163128837497454e-04
9.027551854641181706e+00,2.233637716098506865e-01,5.229128120431493542e-04
9.095428184375325742e+00,2.257439415117166726e-01,5.223911412860217070e-04
9.163304514109469778e+00,2.282273469889180562e-01,5.215655499749104326e-04
9.231180843843613815e+00,2.308089417551295319e-01,5.209247585890198085e-04
9.299057173577757851e+00,2.334958367410044089e-01,5.203213495176370763e-04
9.366933503311901887e+00,2.362992363368805471e-01,5.197534555390593506e-04
9.434809833046045924e+00,2.392123095259240384e-01,5.192041667365231324e-04
9.502686162780189960e+00,2.422440079520600253e-01,5.187798969703226980e-04
9.570562492514333996e+00,2.454032754216276258e-01,5.184065149284418014e-04
9.638438822248478033e+00,2.486834152764244854e-01,5.180992146002434467e-04
9.706315151982623846e+00,2.520918317967858480e-01,5.178420083071807014e-04
9.774191481716767882e+00,2.556352865809179975e-01,5.176189163443638492e-04
9.842067811450911918e+00,2.593177868750515813e-01,5.175872335122243305e-04
9.909944141185055955e+00,2.631397950968140664e-01,5.176544536180458910e-04
9.977820470919199991e+00,2.671097847973295525e-01,5.179728258629741518e-04
1.004569680065334403e+01,2.712298060654051435e-01,5.181673132600753649e-04
1.011357313038748806e+01,2.755134795074646870e-01,5.185117517270032735e-04
1.018144946012163210e+01,2.799630511519888287e-01,5.191171217916221809e-04
1.024932578985577614e+01,2.845814668120071889e-01,5.195171228162349854e-04
1.031720211958992017e+01,2.893736809621115791e-01,5.198681946811062413e-04
1.038507844932406599e+01,2.943489005276305748e-01,5.203619539692038711e-04
1.045295477905821002e+01,2.995130305704851725e-01,5.209847589081431944e-04
1.052083110879235406e+01,3.048822982545785210e-01,5.213578863672840022e-04
1.058870743852649809e+01,3.104620667286779878e-01,5.214530742517839304e-04
1.065658376826064213e+01,3.162558203600002171e-01,5.212752393907479735e-04
1.072446009799478617e+01,3.222755775282676316e-01,5.212838296578105411e-04
1.079233642772893020e+01,3.285307892436600263e-01,5.213872163557403986e-04
1.086021275746307424e+01,3.350307464056493933e-01,5.216648487617223887e-04
