#tau, F(tau), dF(tau)
0.000000000000000000e+00,9.995988640544437587e-01,7.132444217177049501e-04
1.086021275746307246e-02,9.371523460472365175e-01,7.123281083555741073e-04
2.172042551492614493e-02,8.792290955904614735e-01,7.094119990442483313e-04
3.258063827238921739e-02,8.254804302715548214e-01,7.051750263051146045e-04
4.344085102985228986e-02,7.755775710638652676e-01,6.999754577691419616e-04
5.430106378731536232e-02,7.292352691017934818e-01,6.940727324471749650e-04
6.516127654477843478e-02,6.861795969625721359e-01,6.876635672343698593e-04
7.602148930224150725e-02,6.461355303176884446e-01,6.812066338413043766e-04
8.688170205970457971e-02,6.088690785620118895e-01,6.746987317783715654e-04
9.774191481716765217e-02,5.741578465322038083e-01,6.681796521403293417e-04
1.086021275746307246e-01,5.418309021899693212e-01,6.618033362770186882e-04
1.194623403320937971e-01,5.116854580647558493e-01,6.554651127838366726e-04
1.303225530895568696e-01,4.835777146341531108e-01,6.493853758362814121e-04
1.411827658470199420e-01,4.573292360660545786e-01,6.432936179417777936e-04
1.520429786044830145e-01,4.328063104681776907e-01,6.374194829909586059e-04
1.629031913619460870e-01,4.098870287092234443e-01,6.315981693747960146e-04
1.737634041194091594e-01,3.884788364526039484e-01,6.261318500226862845e-04
1.846236168768722319e-01,3.684295560288316507e-01,6.209195498866573086e-04
1.954838296343353043e-01,3.496324875956335343e-01,6.158510877631757918e-04
2.063440423917983768e-01,3.320352829387150928e-01,6.110478416803601532e-04
2.172042551492614493e-01,3.155587477603437052e-01,6.065275911878942544e-04
2.280644679067245217e-01,3.001102086226078991e-01,6.023251580568920278e-04
2.389246806641875942e-01,2.856110639207522506e-01,5.985677408868666583e-04
2.497848934216506667e-01,2.719831883802649730e-01,5.950431197063155674e-04
2.606451061791137391e-01,2.591873737181866755e-01,5.915772394021111226e-04
2.715053189365768116e-01,2.471673735439165187e-01,5.884386837952378189e-04
2.823655316940398841e-01,2.358795061333176513e-01,5.855079917616826286e-04
2.932257444515029565e-01,2.252776128640683606e-01,5.826069929160007741e-04
3.040859572089660290e-01,2.153040392761228772e-01,5.800197443725506634e-04
3.149461699664291014e-01,2.059142211685670854e-01,5.776761072617940139e-04
3.258063827238921739e-01,1.970637879969503736e-01,5.756202097917949333e-04
3.366665954813552464e-01,1.887207782885603480e-01,5.739263441625351613e-04
3.475268082388183188e-01,1.808589342456635440e-01,5.722379692777177299e-04
3.583870209962813913e-01,1.734441649115757433e-01,5.708018617784401793e-04
3.692472337537444638e-01,1.664546778180137632e-01,5.696468398844916400e-04
3.801074465112075362e-01,1.598646018852453721e-01,5.684352851065108299e-04
3.909676592686706087e-01,1.536397104947666847e-01,5.673956374874048218e-04
4.018278720261336812e-01,1.477611186177326952e-01,5.668699662511738095e-04
4.126880847835967536e-01,1.421813806270117442e-01,5.664854032695901742e-04
4.235482975410598261e-01,1.369111897331053984e-01,5.657407161810481828e-04
4.344085102985228986e-01,1.318914227233107250e-01,5.650241534760783255e-04
4.452687230559859710e-01,1.271261961457264278e-01,5.642536250779577305e-04
4.561289358134490435e-01,1.226378128578847204e-01,5.638408990736592944e-04
4.669891485709121159e-01,1.183744506173224631e-01,5.636004002241493246e-04
4.778493613283751884e-01,1.143433876186659703e-01,5.633249904980588193e-04
4.887095740858382609e-01,1.105027592575493489e-01,5.629567011130250402e-04
4.995697868433013333e-01,1.068686165790822262e-01,5.625910759376550165e-04
5.104299996007644058e-01,1.034595436640690785e-01,5.622310413163657521e-04
5.212902123582274783e-01,1.001977594614013034e-01,5.617323979019178031e-04
5.321504251156905507e-01,9.707828708916090010e-02,5.612588029056035741e-04
5.430106378731536232e-01,9.410124702588788803e-02,5.609864196786349148e-04
5.538708506306166957e-01,9.128703268616088218e-02,5.608026617176808688e-04
5.647310633880797681e-01,8.860661460625553210e-02,5.604823697814117133e-04
5.755912761455428406e-01,8.605478237161277855e-02,5.603834143345189697e-04
5.864514889030059130e-01,8.361999876897431572e-02,5.602977931742568170e-04
5.973117016604689855e-01,8.128804979954425136e-02,5.601359227419056876e-04
6.081719144179320580e-01,7.911552850995996755e-02,5.602220258587160785e-04
6.190321271753951304e-01,7.705209444345842429e-02,5.603897935188591325e-04
6.298923399328582029e-01,7.511253669810030731e-02,5.606818133656159015e-04
6.407525526903212754e-01,7.325544939028481861e-02,5.611101628361068756e-04
6.516127654477843478e-01,7.149609771953463477e-02,5.616233613846485784e-04
6.624729782052474203e-01,6.981811395213519122e-02,5.623711553440066332e-04
6.733331909627104928e-01,6.822340527856939063e-02,5.632871854622664102e-04
6.841934037201735652e-01,6.670312599376360119e-02,5.645018362788779831e-04
6.950536164776366377e-01,6.526748792497952256e-02,5.658169449457241176e-04
7.059138292350997101e-01,6.389407081666263755e-02,5.670640769981455344e-04
7.167740419925627826e-01,6.258792555234214683e-02,5.684540002424750150e-04
7.276342547500258551e-01,6.135751176150592429e-02,5.700092198917022963e-04
7.384944675074889275e-01,6.018384824729090116e-02,5.716966382777689728e-04
7.493546802649520000e-01,5.905754049568430475e-02,5.734639880395106352e-04
7.602148930224150725e-01,5.798893056411733027e-02,5.758122901484303289e-04
7.710751057798781449e-01,5.695428621259714802e-02,5.782487290900113026e-04
7.819353185373412174e-01,5.600310508425267869e-02,5.808490274564793998e-04
7.927955312948042899e-01,5.507436775016086999e-02,5.837799219680329336e-04
8.036557440522673623e-01,5.420179172532491041e-02,5.868288777923864798e-04
8.145159568097304348e-01,5.335828825274274018e-02,5.901078666189641785e-04
8.253761695671935072e-01,5.256995646030489938e-02,5.937058838707942989e-04
8.362363823246565797e-01,5.180891474120704471e-02,5.975251720523696479e-04
8.470965950821196522e-01,5.109101708617333482e-02,6.014469084454249518e-04
8.579568078395827246e-01,5.043052338456200517e-02,6.056514358246823521e-04
8.688170205970457971e-01,4.984299425896279029e-02,6.099505754377447086e-04
8.796772333545088696e-01,4.931195035737301335e-02,6.146326135822444137e-04
8.905374461119719420e-01,4.883093326084331914e-02,6.197950541459233383e-04
9.013976588694350145e-01,4.839397180124175440e-02,6.253447517794554281e-04
9.122578716268980870e-01,4.799354387394724752e-02,6.315493843626051327e-04
9.231180843843611594e-01,4.762802173618808921e-02,6.382140355394251476e-04
9.339782971418242319e-01,4.729996701509341095e-02,6.450964977351323574e-04
9.448385098992873043e-01,4.700970605596563323e-02,6.518813557896989061e-04
9.556987226567503768e-01,4.674190480010621818e-02,6.588258669189539767e-04
9.665589354142134493e-01,4.651188458137584664e-02,6.660896247507486646e-04
9.774191481716765217e-01,4.630862472124866458e-02,6.733380183798542756e-04
9.882793609291395942e-01,4.613774278682506585e-02,6.807038621407078419e-04
9.991395736866026667e-01,4.598275371558874225e-02,6.878887405093428616e-04
1.009999786444065739e+00,4.587979618071654636e-02,6.949872479594054958e-04
1.020859999201528812e+00,4.576665542537747267e-02,7.019868890086692357e-04
1.031720211958991884e+00,4.566188427178752979e-02,7.085291521223837600e-04
1.042580424716454957e+00,4.556792497151434390e-02,7.142185690518550872e-04
1.053440637473918029e+00,4.549638843829258150e-02,7.192140060072661116e-04
1.064300850231381101e+00,4.545147083282674583e-02,7.231115472687700378e-04
1.075161062988844174e+00,4.542523522678892922e-02,7.257659048278784905e-04
1.086021275746307246e+00,4.542278921046294382e-02,7.268845868904669043e-04
1.096881488503770319e+00,4.542523522678892922e-02,7.257659048278784905e-04
1.107741701261233391e+00,4.545147083282674583e-02,7.231115472687700378e-04
1.118601914018696464e+00,4.549638843829258150e-02,7.192140060072661116e-04
1.129462126776159536e+00,4.556792497151434390e-02,7.142185690518550872e-04
1.140322339533622609e+00,4.566188427178752979e-02,7.085291521223837600e-04
1.151182552291085681e+00,4.576665542537747267e-02,7.019868890086692357e-04
1.162042765048548754e+00,4.587979618071654636e-02,6.949872479594054958e-04
1.172902977806011826e+00,4.598275371558874225e-02,6.878887405093428616e-04
1.183763190563474899e+00,4.613774278682506585e-02,6.807038621407078419e-04
1.194623403320937971e+00,4.630862472124866458e-02,6.733380183798542756e-04
1.205483616078401043e+00,4.651188458137584664e-02,6.660896247507486646e-04
1.216343828835864116e+00,4.674190480010621818e-02,6.588258669189539767e-04
1.227204041593327188e+00,4.700970605596563323e-02,6.518813557896989061e-04
1.238064254350790261e+00,4.729996701509341095e-02,6.450964977351323574e-04
1.248924467108253333e+00,4.762802173618808921e-02,6.382140355394251476e-04
1.259784679865716406e+00,4.799354387394724752e-02,6.315493843626051327e-04
1.270644892623179478e+00,4.839397180124175440e-02,6.253447517794554281e-04
1.281505105380642551e+00,4.883093326084331914e-02,6.197950541459233383e-04
1.292365318138105623e+00,4.931195035737301335e-02,6.146326135822444137e-04
1.303225530895568696e+00,4.984299425896279029e-02,6.099505754377447086e-04
1.314085743653031768e+00,5.043052338456200517e-02,6.056514358246823521e-04
1.324945956410494841e+00,5.109101708617333482e-02,6.014469084454249518e-04
1.335806169167957913e+00,5.180891474120704471e-02,5.975251720523696479e-04
1.346666381925420986e+00,5.256995646030489938e-02,5.937058838707942989e-04
1.357526594682884058e+00,5.335828825274274018e-02,5.901078666189641785e-04
1.368386807440347130e+00,5.420179172532491041e-02,5.868288777923864798e-04
1.379247020197810203e+00,5.507436775016086999e-02,5.837799219680329336e-04
1.390107232955273275e+00,5.600310508425267869e-02,5.808490274564793998e-04
1.400967445712736348e+00,5.695428621259714802e-02,5.782487290900113026e-04
1.411827658470199420e+00,5.798893056411733027e-02,5.758122901484303289e-04
1.422687871227662493e+00,5.905754049568430475e-02,5.734639880395106352e-04
1.433548083985125565e+00,6.018384824729090116e-02,5.716966382777689728e-04
