#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.000940034437211468e+00,2.235433215731927759e-03
1.086021275746307246e-02,9.384632890783073389e-01,2.233908014823260402e-03
2.172042551492614493e-02,8.804952125295852916e-01,2.226790700779465466e-03
3.258063827238921739e-02,8.266923470334993640e-01,2.216235251247629465e-03
4.344085102985228986e-02,7.766480076468430527e-01,2.200687695329728907e-03
5.430106378731536232e-02,7.301799289307994156e-01,2.184406619026522164e-03
6.516127654477843478e-02,6.870032348650280118e-01,2.167953617036408754e-03
7.602148930224150725e-02,6.468285451859282498e-01,2.150068179985892714e-03
8.688170205970457971e-02,6.094013309247451327e-01,2.133872413842929309e-03
9.774191481716765217e-02,5.745460187358774062e-01,2.119424251116163414e-03
1.086021275746307246e-01,5.421217046589922317e-01,2.107753645718092247e-03
1.194623403320937971e-01,5.118232919409719806e-01,2.095121339651896588e-03
1.303225530895568696e-01,4.835803036588654513e-01,2.080090042081261369e-03
1.411827658470199420e-01,4.571767927857794400e-01,2.064974563003055871e-03
1.520429786044830145e-01,4.325120188157761669e-01,2.049339599403473752e-03
1.629031913619460870e-01,4.093737521715427596e-01,2.035254143825749717e-03
1.737634041194091594e-01,3.877025829660763478e-01,2.022308594238853442e-03
1.846236168768722319e-01,3.674376864938976306e-01,2.010765676417147416e-03
1.954838296343353043e-01,3.484716566194193677e-01,1.998263816727119217e-03
2.063440423917983768e-01,3.307273722032062491e-01,1.983024824166828431e-03
2.172042551492614493e-01,3.140131860952442566e-01,1.969279750815294914e-03
2.280644679067245217e-01,2.984073855318500890e-01,1.958245719007925198e-03
2.389246806641875942e-01,2.838231035436519778e-01,1.948325260171208028e-03
2.497848934216506667e-01,2.701314575343298219e-01,1.938647883297369865e-03
2.606451061791137391e-01,2.572992531938650962e-01,1.931478787919087975e-03
2.715053189365768116e-01,2.452507397071201911e-01,1.925671516524355732e-03
2.823655316940398841e-01,2.340022904500201617e-01,1.918464914556448301e-03
2.932257444515029565e-01,2.234403526583350619e-01,1.910483677391969486e-03
3.040859572089660290e-01,2.134968795635846794e-01,1.903036403345020455e-03
3.149461699664291014e-01,2.041223343585805428e-01,1.894726187073588614e-03
3.258063827238921739e-01,1.952391969415194772e-01,1.887709526741028401e-03
3.366665954813552464e-01,1.868765129120774637e-01,1.884426460185753679e-03
3.475268082388183188e-01,1.790725711314290203e-01,1.881559138314362663e-03
3.583870209962813913e-01,1.717153291056544018e-01,1.878217531903372643e-03
3.692472337537444638e-01,1.648127520216949582e-01,1.875899498746507734e-03
3.801074465112075362e-01,1.583192250489352804e-01,1.871753307745896129e-03
3.909676592686706087e-01,1.521604258622619998e-01,1.866917618910105946e-03
4.018278720261336812e-01,1.463696236506007442e-01,1.862144496505073856e-03
4.126880847835967536e-01,1.408084955850058551e-01,1.860024600740285911e-03
4.235482975410598261e-01,1.355295349010380568e-01,1.857468286695677755e-03
4.344085102985228986e-01,1.305412113459976653e-01,1.852117434552139411e-03
4.452687230559859710e-01,1.257248957088640262e-01,1.850069047665470288e-03
4.561289358134490435e-01,1.212167281194102136e-01,1.848465388282076070e-03
4.669891485709121159e-01,1.169499849731006763e-01,1.847867701343526656e-03
4.778493613283751884e-01,1.129796201558302821e-01,1.849105270719542896e-03
4.887095740858382609e-01,1.092099989720840131e-01,1.851128478091175651e-03
4.995697868433013333e-01,1.057244936582242001e-01,1.850621958067678137e-03
5.104299996007644058e-01,1.024330167297562710e-01,1.851505473154115532e-03
5.212902123582274783e-01,9.924325446258801253e-02,1.853531424987868090e-03
5.321504251156905507e-01,9.621509614420029055e-02,1.853664032710500417e-03
5.430106378731536232e-01,9.329456398666031991e-02,1.854634133851949026e-03
5.538708506306166957e-01,9.049059690938290879e-02,1.854781811041912023e-03
5.647310633880797681e-01,8.778834657014254750e-02,1.854876344713380113e-03
5.755912761455428406e-01,8.509420854038905746e-02,1.857570739543851083e-03
5.864514889030059130e-01,8.256688367726690292e-02,1.859733049518435925e-03
5.973117016604689855e-01,8.013846017439087144e-02,1.860444919895553988e-03
6.081719144179320580e-01,7.787948887188410330e-02,1.861329986119800942e-03
6.190321271753951304e-01,7.569279304998573210e-02,1.862232839500276710e-03
6.298923399328582029e-01,7.364807849589910527e-02,1.863237667560037640e-03
6.407525526903212754e-01,7.169403152354017483e-02,1.866120801533280261e-03
6.516127654477843478e-01,6.984636343164637995e-02,1.867125063158529266e-03
6.624729782052474203e-01,6.815136410002102518e-02,1.867235381062918708e-03
6.733331909627104928e-01,6.655699504037772274e-02,1.868619645122208441e-03
6.841934037201735652e-01,6.503274467376671253e-02,1.872499215073345543e-03
6.950536164776366377e-01,6.367408707558833147e-02,1.873679359180733389e-03
7.059138292350997101e-01,6.236698112823105267e-02,1.874838137457861698e-03
7.167740419925627826e-01,6.116964378018128340e-02,1.879675053797456646e-03
7.276342547500258551e-01,5.997229981222944317e-02,1.884356456651785187e-03
7.384944675074889275e-01,5.884571135304245137e-02,1.890401328768490184e-03
7.493546802649520000e-01,5.775817471836380140e-02,1.897270831113881222e-03
7.602148930224150725e-01,5.670651767324868392e-02,1.904909223442998465e-03
7.710751057798781449e-01,5.575425800833182233e-02,1.910283939019629664e-03
7.819353185373412174e-01,5.489400294000981034e-02,1.918227268092954517e-03
7.927955312948042899e-01,5.410699646370931842e-02,1.925123112608652593e-03
