#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.037615852788639659e+00,4.919181882028290150e-04
1.086021275746307024e+00,1.003093857227945307e+00,4.921384664938932476e-04
2.172042551492614049e+00,9.702048341543251242e-01,4.921659794420101637e-04
3.258063827238920851e+00,9.388611192525408988e-01,4.916310614525680467e-04
4.344085102985228097e+00,9.089750321633697228e-01,4.910672398651637349e-04
5.430106378731535344e+00,8.804726261758071271e-01,4.903370381916202000e-04
6.516127654477841702e+00,8.532723176436241008e-01,4.896799865984234265e-04
7.602148930224148948e+00,8.273016038141548512e-01,4.888978287408608401e-04
8.688170205970456195e+00,8.024968382125539090e-01,4.876118072269216902e-04
9.774191481716762553e+00,7.787956418385199031e-01,4.867397734333062543e-04
1.086021275746307069e+01,7.561446203214224893e-01,4.857958657382974773e-04
1.194623403320937705e+01,7.344859190637601509e-01,4.847431559308343699e-04
1.303225530895568340e+01,7.137651008361030058e-01,4.834264405219008747e-04
1.411827658470199154e+01,6.939415101891793780e-01,4.816563061821093001e-04
1.520429786044829790e+01,6.749648171528388474e-01,4.804176421074436774e-04
1.629031913619460425e+01,6.567917992407604766e-01,4.793608453671030522e-04
1.737634041194091239e+01,6.393807100129270671e-01,4.780448546523317671e-04
1.846236168768722052e+01,6.226984828233451674e-01,4.773740987022246436e-04
1.954838296343352511e+01,6.067098048686037082e-01,4.769143683103480892e-04
2.063440423917983324e+01,5.913795719170509280e-01,4.766893123096074044e-04
2.172042551492614137e+01,5.766749579824166361e-01,4.763792774510751632e-04
2.280644679067244596e+01,5.625638430136192802e-01,4.758777998962159255e-04
2.389246806641875409e+01,5.490166419086638383e-01,4.755188055958644547e-04
2.497848934216506223e+01,5.360079249567791804e-01,4.754102449223488987e-04
2.606451061791136681e+01,5.235139470652570015e-01,4.752221942674183662e-04
2.715053189365767494e+01,5.115150222687256942e-01,4.749359997966817563e-04
2.823655316940398308e+01,4.999869081110475677e-01,4.749900579933872234e-04
2.932257444515029121e+01,4.889044315851576727e-01,4.752576118788162576e-04
3.040859572089659579e+01,4.782510032141230050e-01,4.755651497722053304e-04
3.149461699664290393e+01,4.680065198890500100e-01,4.761012340719232897e-04
3.258063827238920851e+01,4.581551141121769088e-01,4.764928871725456773e-04
3.366665954813552020e+01,4.486816884968565788e-01,4.773295506637402702e-04
3.475268082388182478e+01,4.395679368601300707e-01,4.780453532603548008e-04
3.583870209962812936e+01,4.308016336880488573e-01,4.785336274415451252e-04
3.692472337537444105e+01,4.223632374110737886e-01,4.788666362003406109e-04
3.801074465112074563e+01,4.142397042721978617e-01,4.791766753945976109e-04
3.909676592686705021e+01,4.064230283246227371e-01,4.794499277745051268e-04
4.018278720261336190e+01,3.988968286631763838e-01,4.795349034698818545e-04
4.126880847835966648e+01,3.916501632924355158e-01,4.797515312026799823e-04
4.235482975410597106e+01,3.846662341637078208e-01,4.800491932602826933e-04
4.344085102985228275e+01,3.779414313811423343e-01,4.802175276437232695e-04
4.452687230559858733e+01,3.714603366784606786e-01,4.807106052794158594e-04
4.561289358134489191e+01,3.652126819074652531e-01,4.810402213341731731e-04
4.669891485709120360e+01,3.591897872741320330e-01,4.815918744432907983e-04
4.778493613283750818e+01,3.533826681487883259e-01,4.825479818691586235e-04
4.887095740858381276e+01,3.477843774874186389e-01,4.835629926163411622e-04
4.995697868433012445e+01,3.423880484659161394e-01,4.845114532255886475e-04
5.104299996007642903e+01,3.371880015148084886e-01,4.857705585564019829e-04
5.212902123582273362e+01,3.321745781571971978e-01,4.870607256980223881e-04
5.321504251156904530e+01,3.273411682726799499e-01,4.880547881221893361e-04
5.430106378731534988e+01,3.226791081112145854e-01,4.892009917348077389e-04
5.538708506306166157e+01,3.181868895385345786e-01,4.902867678727437306e-04
5.647310633880796615e+01,3.138618813416645392e-01,4.912634211350671697e-04
5.755912761455427074e+01,3.096931254811990941e-01,4.923963317570858667e-04
5.864514889030058242e+01,3.056742364524779321e-01,4.934899605581551021e-04
5.973117016604688700e+01,3.018061127184683001e-01,4.946105370876741764e-04
6.081719144179319159e+01,2.980745393115089570e-01,4.959450674634395886e-04
6.190321271753950327e+01,2.944792916158581186e-01,4.975479403054656373e-04
6.298923399328580786e+01,2.910197760041975945e-01,4.991825434339773214e-04
6.407525526903211244e+01,2.876910669741890025e-01,5.010532854627982582e-04
6.516127654477841702e+01,2.844828001137454376e-01,5.027078890154926477e-04
6.624729782052472160e+01,2.813945422353643089e-01,5.036938670987222951e-04
6.733331909627104039e+01,2.784202287140163379e-01,5.049067855095143746e-04
6.841934037201734498e+01,2.755603729571116656e-01,5.058526828269631521e-04
6.950536164776364956e+01,2.728095039669385935e-01,5.069931712387849409e-04
7.059138292350995414e+01,2.701621667897668444e-01,5.077751381417612911e-04
7.167740419925625872e+01,2.676142060343725260e-01,5.088243432305340069e-04
7.276342547500257751e+01,2.651694562123484422e-01,5.098013064260852913e-04
7.384944675074888210e+01,2.628296982056474995e-01,5.106062323278369106e-04
7.493546802649518668e+01,2.605816796855018880e-01,5.114908428379317954e-04
7.602148930224149126e+01,2.584232026264381421e-01,5.125069637977785943e-04
7.710751057798779584e+01,2.563569463733766929e-01,5.134981146763028864e-04
