#tau, F(tau), dF(tau)
0.000000000000000000e+00,9.674447674918054130e-01,3.600153182621226161e-02
1.086021275746307246e-02,9.329149286697426824e-01,3.597752569468950362e-02
2.172042551492614493e-02,8.999691885359971666e-01,3.595685971897381872e-02
3.258063827238921739e-02,8.685666178595767839e-01,3.596842474912446269e-02
4.344085102985228986e-02,8.390030372391096281e-01,3.572416422223279736e-02
5.430106378731536232e-02,8.107644641115169248e-01,3.543814256505958132e-02
6.516127654477843478e-02,7.838828171681323509e-01,3.507714238735939322e-02
7.602148930224150725e-02,7.585623607613906083e-01,3.470318164237416736e-02
8.688170205970457971e-02,7.347404029162077910e-01,3.442635252809295859e-02
9.774191481716765217e-02,7.118774566606405063e-01,3.417641444752509555e-02
1.086021275746307246e-01,6.903820506995576034e-01,3.403390667780578638e-02
1.194623403320937971e-01,6.697059929633794040e-01,3.397443103947475618e-02
1.303225530895568696e-01,6.497542909831605096e-01,3.376432980807758666e-02
1.411827658470199420e-01,6.309563962422993777e-01,3.348453271261998820e-02
1.520429786044830145e-01,6.130962848705020507e-01,3.313864168142748035e-02
1.629031913619460870e-01,5.961531104497443945e-01,3.286286312621952699e-02
1.737634041194091594e-01,5.797669095567081765e-01,3.257290198846225782e-02
1.846236168768722319e-01,5.640107591952365773e-01,3.223129065576043478e-02
1.954838296343353043e-01,5.486584795477930099e-01,3.187210209209716955e-02
2.063440423917983768e-01,5.340774410067369304e-01,3.143100866028211010e-02
2.172042551492614493e-01,5.198029135350903385e-01,3.104382262519269492e-02
2.280644679067245217e-01,5.061595056420868932e-01,3.065161423414275790e-02
2.389246806641875942e-01,4.932954330690622613e-01,3.036148242556852353e-02
2.497848934216506667e-01,4.808068251019889661e-01,3.008369103218049706e-02
2.606451061791137391e-01,4.688296034408043211e-01,2.979320339998350886e-02
2.715053189365768116e-01,4.573900360994290759e-01,2.946252459576722063e-02
2.823655316940398841e-01,4.464123734563246182e-01,2.917919684432378896e-02
2.932257444515029565e-01,4.355589493558036929e-01,2.889073088151853860e-02
3.040859572089660290e-01,4.250417405613642341e-01,2.862909973810952996e-02
3.149461699664291014e-01,4.150912030788555529e-01,2.845793175698095243e-02
3.258063827238921739e-01,4.052224782420283389e-01,2.819260669656075899e-02
3.366665954813552464e-01,3.957836095992791625e-01,2.793889493546933972e-02
3.475268082388183188e-01,3.867217404086431554e-01,2.771628593098370702e-02
3.583870209962813913e-01,3.784088532370172286e-01,2.751166700035738433e-02
3.692472337537444638e-01,3.707790795122853922e-01,2.731562690995745918e-02
3.801074465112075362e-01,3.633021718836799696e-01,2.724871441077425863e-02
3.909676592686706087e-01,3.559939446119071982e-01,2.716673358471360239e-02
4.018278720261336812e-01,3.492106194555113508e-01,2.706596704619940175e-02
4.126880847835967536e-01,3.425900490807149423e-01,2.700729240175944387e-02
4.235482975410598261e-01,3.361965290332186718e-01,2.682765986512415657e-02
4.344085102985228986e-01,3.300961416945541460e-01,2.672351634281435948e-02
4.452687230559859710e-01,3.242101364753136039e-01,2.667208168253567754e-02
4.561289358134490435e-01,3.180651240571863436e-01,2.657584128561779613e-02
4.669891485709121159e-01,3.122897499384342801e-01,2.640075033017625500e-02
4.778493613283751884e-01,3.069842830989383264e-01,2.624697322743285710e-02
4.887095740858382609e-01,3.018526891306547166e-01,2.607833654249222533e-02
4.995697868433013333e-01,2.970984687809617442e-01,2.593539505867772585e-02
5.104299996007644058e-01,2.922786089406697596e-01,2.586486062254713530e-02
5.212902123582274783e-01,2.877877636107828430e-01,2.586979646225091856e-02
5.321504251156905507e-01,2.832245743379066538e-01,2.579177277807637517e-02
5.430106378731536232e-01,2.785426597509501612e-01,2.576655628946765766e-02
5.538708506306166957e-01,2.741828185044412614e-01,2.582537156101044271e-02
5.647310633880797681e-01,2.702534137918526924e-01,2.586417431425380373e-02
5.755912761455428406e-01,2.663220237061189044e-01,2.595515003611990196e-02
5.864514889030059130e-01,2.626244723966317252e-01,2.590487485363878947e-02
5.973117016604689855e-01,2.590719525953981139e-01,2.611178248199814630e-02
6.081719144179320580e-01,2.556984447274025518e-01,2.630872121862197141e-02
6.190321271753951304e-01,2.525836233441701162e-01,2.637803175739158665e-02
6.298923399328582029e-01,2.494495591135308388e-01,2.630800098716233604e-02
6.407525526903212754e-01,2.462753750732583624e-01,2.635090563333898628e-02
6.516127654477843478e-01,2.433368891875432594e-01,2.644275707444081538e-02
6.624729782052474203e-01,2.401255450708339179e-01,2.650008701424935720e-02
6.733331909627104928e-01,2.369831254736737836e-01,2.652668066416985493e-02
6.841934037201735652e-01,2.336315078718135818e-01,2.656310707308055796e-02
6.950536164776366377e-01,2.305148920167000570e-01,2.656732988691331079e-02
7.059138292350997101e-01,2.275109491419942676e-01,2.663639246830647872e-02
7.167740419925627826e-01,2.250530342801399797e-01,2.658907170037022247e-02
7.276342547500258551e-01,2.226160544144962505e-01,2.661236231658492893e-02
7.384944675074889275e-01,2.203963346957319991e-01,2.679466475132973036e-02
7.493546802649520000e-01,2.183260417959227428e-01,2.703695764190566786e-02
7.602148930224150725e-01,2.162699206423445430e-01,2.726481196413915731e-02
7.710751057798781449e-01,2.141861111694420283e-01,2.751024319533145607e-02
7.819353185373412174e-01,2.121818517804406334e-01,2.769942864574292951e-02
7.927955312948042899e-01,2.100764025038609206e-01,2.786799684898062096e-02
8.036557440522673623e-01,2.077577974575769981e-01,2.809606419031648872e-02
8.145159568097304348e-01,2.057758926065849092e-01,2.817496512393638172e-02
8.253761695671935072e-01,2.034176396585921920e-01,2.820065562912241544e-02
8.362363823246565797e-01,2.014268342270694179e-01,2.822394720612441191e-02
8.470965950821196522e-01,1.993130761638772508e-01,2.811707524396344152e-02
8.579568078395827246e-01,1.974670380332587960e-01,2.816951377573214885e-02
8.688170205970457971e-01,1.961044077192835300e-01,2.814492551597691170e-02
8.796772333545088696e-01,1.953060968136669517e-01,2.801802787548949084e-02
8.905374461119719420e-01,1.945564657303595624e-01,2.784484082923459336e-02
9.013976588694350145e-01,1.937122927050899945e-01,2.764010296003318115e-02
9.122578716268980870e-01,1.928624842745083334e-01,2.758537255205715730e-02
9.231180843843611594e-01,1.921088671728095332e-01,2.750374843222457705e-02
9.339782971418242319e-01,1.915154620478742298e-01,2.745995088843408705e-02
9.448385098992873043e-01,1.908669628181607902e-01,2.741488756738931845e-02
9.556987226567503768e-01,1.898925034982656135e-01,2.743086167330495428e-02
9.665589354142134493e-01,1.888735336396662190e-01,2.757934208842289722e-02
9.774191481716765217e-01,1.879007695229949759e-01,2.778497064259362326e-02
9.882793609291395942e-01,1.869055019653284855e-01,2.795542730078129021e-02
9.991395736866026667e-01,1.859034841389684556e-01,2.812250509636589346e-02
1.009999786444065739e+00,1.846596478635284810e-01,2.841154616980063469e-02
1.020859999201528812e+00,1.834826423025746889e-01,2.855059001048214362e-02
1.031720211958991884e+00,1.822343083933558594e-01,2.883629821818520927e-02
1.042580424716454957e+00,1.816206600983904795e-01,2.903774057377432952e-02
1.053440637473918029e+00,1.814818748794935765e-01,2.927760868919946496e-02
1.064300850231381101e+00,1.813271684951826002e-01,2.943761127201605446e-02
1.075161062988844174e+00,1.810237194820467077e-01,2.962756711886908520e-02
1.086021275746307246e+00,1.807435986033663344e-01,2.964805294548028894e-02
1.096881488503770319e+00,1.810237194820467077e-01,2.962756711886908520e-02
1.107741701261233391e+00,1.813271684951826002e-01,2.943761127201605446e-02
1.118601914018696464e+00,1.814818748794935765e-01,2.927760868919946496e-02
1.129462126776159536e+00,1.816206600983904795e-01,2.903774057377432952e-02
1.140322339533622609e+00,1.822343083933558594e-01,2.883629821818520927e-02
1.151182552291085681e+00,1.834826423025746889e-01,2.855059001048214362e-02
1.162042765048548754e+00,1.846596478635284810e-01,2.841154616980063469e-02
1.172902977806011826e+00,1.859034841389684556e-01,2.812250509636589346e-02
1.183763190563474899e+00,1.869055019653284855e-01,2.795542730078129021e-02
1.194623403320937971e+00,1.879007695229949759e-01,2.778497064259362326e-02
1.205483616078401043e+00,1.888735336396662190e-01,2.757934208842289722e-02
1.216343828835864116e+00,1.898925034982656135e-01,2.743086167330495428e-02
1.227204041593327188e+00,1.908669628181607902e-01,2.741488756738931845e-02
1.238064254350790261e+00,1.915154620478742298e-01,2.745995088843408705e-02
1.248924467108253333e+00,1.921088671728095332e-01,2.750374843222457705e-02
1.259784679865716406e+00,1.928624842745083334e-01,2.758537255205715730e-02
1.270644892623179478e+00,1.937122927050899945e-01,2.764010296003318115e-02
1.281505105380642551e+00,1.945564657303595624e-01,2.784484082923459336e-02
1.292365318138105623e+00,1.953060968136669517e-01,2.801802787548949084e-02
1.303225530895568696e+00,1.961044077192835300e-01,2.814492551597691170e-02
1.314085743653031768e+00,1.974670380332587960e-01,2.816951377573214885e-02
